video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
19bad,0,0.0,0.9545,0.2735,0.9482,0.5717,1.2,43.8,0.305,0,clean_catch,1
19bad,1,16.726973684210527,0.9566,0.276,0.943,0.575,2.6,42.4,0.313,0,clean_catch,0
19bad,2,33.453947368421055,0.9578,0.2779,0.9388,0.5776,3.6,41.4,0.319,0,clean_catch,0
19bad,3,50.18092105263158,0.9584,0.2792,0.9355,0.5795,4.4,40.6,0.323,0,clean_catch,0
19bad,4,66.90789473684211,0.9584,0.2804,0.9324,0.5817,4.9,40.1,0.327,0,clean_catch,0
19bad,5,83.63486842105263,0.9574,0.2803,0.9319,0.5812,4.8,40.2,0.326,0,clean_catch,0
19bad,6,100.36184210526316,0.9555,0.2794,0.9314,0.5791,4.6,40.4,0.324,0,clean_catch,0
19bad,7,117.08881578947368,0.9548,0.2789,0.9313,0.5768,4.5,40.5,0.321,0,clean_catch,0
19bad,8,133.81578947368422,0.9544,0.2783,0.9318,0.5743,4.4,40.6,0.319,0,clean_catch,0
19bad,9,150.54276315789474,0.9541,0.2776,0.9325,0.5723,4.2,40.8,0.316,0,clean_catch,0
19bad,10,167.26973684210526,0.9541,0.277,0.9329,0.5725,4.1,40.9,0.317,0,clean_catch,0
19bad,11,183.99671052631578,0.9542,0.2766,0.9334,0.571,4.0,41.0,0.315,0,clean_catch,0
19bad,12,200.72368421052633,0.9543,0.2767,0.9338,0.5682,4.0,41.0,0.312,0,clean_catch,0
19bad,13,217.45065789473685,0.9545,0.2773,0.935,0.5646,3.9,41.1,0.307,0,clean_catch,0
19bad,14,234.17763157894737,0.9547,0.2779,0.9363,0.5613,3.7,41.3,0.302,0,clean_catch,0
19bad,15,250.9046052631579,0.955,0.2786,0.9371,0.5585,3.7,41.3,0.298,0,clean_catch,0
19bad,16,267.63157894736844,0.9549,0.279,0.9375,0.5574,3.6,41.4,0.296,0,clean_catch,0
19bad,17,284.35855263157896,0.9544,0.2792,0.9375,0.5557,3.5,41.5,0.293,0,clean_catch,0
19bad,18,301.0855263157895,0.9538,0.2787,0.9373,0.554,3.4,41.6,0.292,0,clean_catch,0
19bad,19,317.8125,0.9534,0.2785,0.937,0.5536,3.4,41.6,0.291,0,clean_catch,0
19bad,20,334.5394736842105,0.953,0.2778,0.9359,0.5539,3.5,41.5,0.293,0,clean_catch,0
19bad,21,351.26644736842104,0.9528,0.2769,0.9344,0.5541,3.8,41.2,0.296,0,clean_catch,0
19bad,22,367.99342105263156,0.9525,0.2758,0.933,0.554,4.0,41.0,0.298,0,clean_catch,0
19bad,23,384.7203947368421,0.9519,0.2749,0.9313,0.5539,4.2,40.8,0.3,0,clean_catch,0
19bad,24,401.44736842105266,0.9507,0.2741,0.9298,0.5533,4.3,40.7,0.3,0,clean_catch,0
19bad,25,418.1743421052632,0.949,0.2738,0.9281,0.553,4.3,40.7,0.3,0,clean_catch,0
19bad,26,434.9013157894737,0.9471,0.2732,0.9261,0.5521,4.3,40.7,0.3,0,clean_catch,0
19bad,27,451.6282894736842,0.9451,0.2727,0.9243,0.5507,4.3,40.7,0.299,0,clean_catch,0
19bad,28,468.35526315789474,0.9436,0.2725,0.9233,0.5495,4.2,40.8,0.297,0,clean_catch,0
19bad,29,485.08223684210526,0.9421,0.2722,0.9225,0.5479,4.1,40.9,0.295,0,clean_catch,0
19bad,30,501.8092105263158,0.94,0.2718,0.9217,0.5462,3.8,41.2,0.293,0,clean_catch,0
19bad,31,518.5361842105264,0.9374,0.2712,0.9207,0.5449,3.5,41.5,0.29,0,clean_catch,0
19bad,32,535.2631578947369,0.9348,0.2704,0.9189,0.544,3.3,41.7,0.289,0,clean_catch,0
19bad,33,551.9901315789474,0.9321,0.2697,0.9169,0.5435,3.2,41.8,0.289,0,clean_catch,0
19bad,34,568.7171052631579,0.9296,0.2693,0.9152,0.5439,3.0,42.0,0.289,0,clean_catch,0
19bad,35,585.4440789473684,0.9276,0.269,0.9136,0.5447,2.9,42.1,0.29,0,clean_catch,0
19bad,36,602.171052631579,0.9258,0.2697,0.9121,0.5463,2.8,42.2,0.29,0,clean_catch,0
19bad,37,618.8980263157895,0.9245,0.271,0.9107,0.548,2.8,42.2,0.291,0,clean_catch,0
19bad,38,635.625,0.9233,0.2727,0.9088,0.5496,3.0,42.0,0.291,0,clean_catch,0
19bad,39,652.3519736842105,0.9219,0.2741,0.9072,0.5502,3.0,42.0,0.291,0,clean_catch,0
19bad,40,669.078947368421,0.9203,0.2747,0.906,0.5501,3.0,42.0,0.29,0,clean_catch,0
19bad,41,685.8059210526316,0.9191,0.2755,0.9048,0.5504,3.0,42.0,0.289,0,clean_catch,0
19bad,42,702.5328947368421,0.9177,0.2766,0.9038,0.5509,2.9,42.1,0.288,0,clean_catch,0
19bad,43,719.2598684210526,0.9162,0.2781,0.9025,0.5514,2.9,42.1,0.287,0,clean_catch,0
19bad,44,735.9868421052631,0.9137,0.2801,0.9006,0.5519,2.8,42.2,0.285,0,clean_catch,0
19bad,45,752.7138157894736,0.9107,0.2818,0.8989,0.5519,2.5,42.5,0.282,0,clean_catch,0
19bad,46,769.4407894736842,0.9083,0.2828,0.8976,0.5504,2.3,42.7,0.278,0,clean_catch,0
19bad,47,786.1677631578948,0.9058,0.2836,0.8964,0.5481,2.1,42.9,0.274,0,clean_catch,0
19bad,48,802.8947368421053,0.9035,0.2836,0.8953,0.5456,1.8,43.2,0.27,0,clean_catch,0
19bad,49,819.6217105263158,0.9007,0.2834,0.8939,0.5442,1.5,43.5,0.268,0,clean_catch,0
19bad,50,836.3486842105264,0.8973,0.2839,0.8912,0.5446,1.3,43.7,0.267,0,clean_catch,0
19bad,51,853.0756578947369,0.8939,0.2833,0.8886,0.5452,1.2,43.8,0.267,0,clean_catch,0
