video_id,frame_index,timestamp_ms,shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,lift_phase,low_visibility
5good,0,0.0,0.9459,0.2922,0.935,0.513,2.8,42.2,0.232,0,clean_catch,0
5good,1,16.726602120792993,0.9473,0.2941,0.9349,0.5131,3.3,41.7,0.231,0,clean_catch,0
5good,2,33.453204241585986,0.9484,0.2955,0.9348,0.5133,3.6,41.4,0.231,0,clean_catch,0
5good,3,50.179806362378976,0.9492,0.2966,0.9347,0.5135,3.8,41.2,0.231,0,clean_catch,0
5good,4,66.90640848317197,0.9494,0.2973,0.9347,0.5138,3.9,41.1,0.231,0,clean_catch,0
5good,5,83.63301060396496,0.9497,0.2977,0.9347,0.5142,4.0,41.0,0.232,0,clean_catch,0
5good,6,100.35961272475795,0.9498,0.2978,0.9346,0.5145,4.0,41.0,0.232,0,clean_catch,0
5good,7,117.08621484555094,0.9495,0.2978,0.9345,0.5147,4.0,41.0,0.232,0,clean_catch,0
5good,8,133.81281696634395,0.949,0.298,0.9343,0.5148,3.9,41.1,0.231,0,clean_catch,0
5good,9,150.53941908713693,0.9482,0.2978,0.9343,0.5149,3.7,41.3,0.231,0,clean_catch,0
5good,10,167.26602120792992,0.9476,0.2973,0.9343,0.5148,3.5,41.5,0.231,0,clean_catch,0
5good,11,183.9926233287229,0.9471,0.2967,0.9344,0.5148,3.4,41.6,0.231,0,clean_catch,0
5good,12,200.7192254495159,0.9468,0.2961,0.9344,0.5148,3.2,41.8,0.231,0,clean_catch,0
5good,13,217.4458275703089,0.9465,0.2957,0.9345,0.5148,3.1,41.9,0.231,0,clean_catch,0
5good,14,234.17242969110188,0.946,0.2954,0.9345,0.5148,3.0,42.0,0.231,0,clean_catch,0
5good,15,250.89903181189487,0.9454,0.2947,0.9345,0.5147,2.8,42.2,0.231,0,clean_catch,0
5good,16,267.6256339326879,0.9449,0.2941,0.9345,0.5145,2.7,42.3,0.231,0,clean_catch,0
5good,17,284.35223605348085,0.9446,0.2936,0.9345,0.5144,2.6,42.4,0.231,0,clean_catch,0
5good,18,301.07883817427387,0.9444,0.2933,0.9346,0.5144,2.6,42.4,0.231,0,clean_catch,0
5good,19,317.80544029506683,0.9444,0.2934,0.9347,0.5143,2.5,42.5,0.231,0,clean_catch,0
5good,20,334.53204241585985,0.9445,0.2935,0.9349,0.5144,2.5,42.5,0.23,0,clean_catch,0
5good,21,351.2586445366528,0.9445,0.2938,0.935,0.5147,2.5,42.5,0.23,0,clean_catch,0
5good,22,367.9852466574458,0.9444,0.294,0.9351,0.515,2.4,42.6,0.23,0,clean_catch,0
5good,23,384.7118487782388,0.944,0.2941,0.935,0.5153,2.3,42.7,0.23,0,clean_catch,0
5good,24,401.4384508990318,0.9435,0.2941,0.935,0.5151,2.2,42.8,0.23,0,clean_catch,0
5good,25,418.1650530198248,0.943,0.294,0.9349,0.5146,2.1,42.9,0.229,0,clean_catch,0
5good,26,434.8916551406178,0.9426,0.2936,0.9349,0.5139,2.0,43.0,0.228,0,clean_catch,0
5good,27,451.6182572614108,0.9423,0.2931,0.9349,0.5134,1.9,43.1,0.228,0,clean_catch,0
5good,28,468.34485938220377,0.9418,0.2925,0.935,0.5133,1.8,43.2,0.228,0,clean_catch,0
5good,29,485.0714615029968,0.9411,0.2921,0.935,0.5135,1.6,43.4,0.227,0,clean_catch,0
5good,30,501.79806362378974,0.9408,0.2918,0.9351,0.5135,1.5,43.5,0.227,0,clean_catch,0
5good,31,518.5246657445828,0.9408,0.2919,0.9352,0.5136,1.5,43.5,0.227,0,clean_catch,0
5good,32,535.2512678653758,0.9417,0.2922,0.9351,0.5136,1.7,43.3,0.228,0,clean_catch,0
5good,33,551.9778699861687,0.9433,0.2926,0.9351,0.5136,2.1,42.9,0.229,0,clean_catch,0
5good,34,568.7044721069617,0.9446,0.2933,0.9351,0.5136,2.5,42.5,0.23,0,clean_catch,0
5good,35,585.4310742277547,0.9455,0.294,0.9351,0.5136,2.7,42.3,0.23,0,clean_catch,0
5good,36,602.1576763485477,0.9461,0.2946,0.9352,0.5137,2.8,42.2,0.23,0,clean_catch,0
5good,37,618.8842784693406,0.9459,0.2949,0.9354,0.5137,2.7,42.3,0.229,0,clean_catch,0
5good,38,635.6108805901337,0.9459,0.2954,0.9356,0.5138,2.7,42.3,0.229,0,clean_catch,0
5good,39,652.3374827109267,0.9459,0.296,0.9357,0.5138,2.7,42.3,0.228,0,clean_catch,0
5good,40,669.0640848317197,0.9459,0.2966,0.9357,0.5137,2.7,42.3,0.227,0,clean_catch,0
5good,41,685.7906869525127,0.9461,0.2972,0.9358,0.5136,2.7,42.3,0.227,0,clean_catch,0
5good,42,702.5172890733056,0.9461,0.2976,0.9361,0.5135,2.7,42.3,0.226,0,clean_catch,0
5good,43,719.2438911940986,0.9461,0.2979,0.9363,0.5134,2.6,42.4,0.225,0,clean_catch,0
5good,44,735.9704933148917,0.9459,0.2981,0.9365,0.5133,2.5,42.5,0.225,0,clean_catch,0
5good,45,752.6970954356847,0.9458,0.2981,0.9365,0.5132,2.5,42.5,0.224,0,clean_catch,0
5good,46,769.4236975564776,0.9457,0.2982,0.9364,0.5132,2.5,42.5,0.224,0,clean_catch,0
5good,47,786.1502996772706,0.9458,0.2981,0.9363,0.5131,2.5,42.5,0.224,0,clean_catch,0
5good,48,802.8769017980636,0.9459,0.2983,0.9362,0.5131,2.6,42.4,0.224,0,clean_catch,0
5good,49,819.6035039188566,0.9459,0.2985,0.9362,0.5132,2.6,42.4,0.224,0,clean_catch,0
5good,50,836.3301060396496,0.9459,0.2988,0.9362,0.5132,2.6,42.4,0.224,0,clean_catch,0
5good,51,853.0567081604426,0.9457,0.2991,0.9362,0.5131,2.6,42.4,0.224,0,clean_catch,0
5good,52,869.7833102812356,0.9456,0.2993,0.9362,0.5131,2.5,42.5,0.223,0,clean_catch,0
5good,53,886.5099124020286,0.9455,0.2993,0.9361,0.5132,2.5,42.5,0.223,0,clean_catch,0
5good,54,903.2365145228216,0.9454,0.2995,0.936,0.5132,2.5,42.5,0.223,0,clean_catch,0
5good,55,919.9631166436145,0.9453,0.2997,0.936,0.5132,2.5,42.5,0.223,0,clean_catch,0
5good,56,936.6897187644075,0.9453,0.2999,0.936,0.5131,2.5,42.5,0.223,0,clean_catch,0
5good,57,953.4163208852005,0.9453,0.3002,0.936,0.513,2.5,42.5,0.222,0,clean_catch,0
5good,58,970.1429230059936,0.9451,0.3004,0.9359,0.5132,2.5,42.5,0.222,0,clean_catch,0
5good,59,986.8695251267865,0.9447,0.3005,0.9358,0.5134,2.4,42.6,0.222,0,clean_catch,0
5good,60,1003.5961272475795,0.9443,0.3006,0.9357,0.5137,2.3,42.7,0.222,0,clean_catch,0
5good,61,1020.3227293683725,0.9441,0.3006,0.9357,0.5141,2.3,42.7,0.222,0,clean_catch,0
5good,62,1037.0493314891655,0.9441,0.3006,0.9356,0.5142,2.3,42.7,0.222,0,clean_catch,0
