shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.9549,0.5694,0.9309,0.7349,8.2,36.8,0.19,0,0,0,clean_catch,0,False
0.9545,0.5679,0.9298,0.7336,8.5,36.5,0.19,0,3,49,clean_catch,0,False
0.9556,0.5657,0.9365,0.7367,6.4,38.6,0.19,0,6,99,clean_catch,0,False
0.9547,0.5654,0.9354,0.7374,6.4,38.6,0.191,0,9,149,clean_catch,0,False
0.9543,0.5689,0.9284,0.7394,8.6,36.4,0.196,0,12,199,clean_catch,0,False
0.9546,0.5681,0.9229,0.7344,10.8,34.2,0.198,0,15,249,jerk_dip,0,False
0.9551,0.5688,0.9294,0.736,8.7,36.3,0.193,0,18,299,clean_catch,0,False
0.4229,0.5911,0.4927,0.6703,41.4,3.6,0.149,0,21,349,first_pull,0,False
0.4228,0.5921,0.4926,0.6879,36.1,8.9,0.166,0,24,399,first_pull,0,False
0.4215,0.5933,0.4961,0.6765,41.9,3.1,0.158,0,27,449,first_pull,0,False
0.4208,0.5936,0.479,0.708,26.9,18.1,0.173,0,30,499,jerk_dip,0,False
0.4211,0.5971,0.4786,0.7197,25.1,19.9,0.18,0,33,549,jerk_dip,0,False
0.4196,0.5923,0.4862,0.7068,30.2,14.8,0.181,0,36,599,jerk_dip,0,False
0.4192,0.5952,0.4858,0.7149,29.1,15.9,0.186,0,39,649,jerk_dip,0,False
0.4186,0.5916,0.4867,0.727,26.7,18.3,0.204,0,42,699,jerk_dip,0,False
0.4186,0.5913,0.483,0.7143,27.6,17.4,0.187,0,45,749,jerk_dip,0,False
0.4193,0.5916,0.4805,0.7259,24.5,20.5,0.195,0,48,799,jerk_dip,0,False
0.4201,0.593,0.4769,0.7407,21.0,24.0,0.204,0,51,849,jerk_dip,0,False
0.4179,0.5944,0.4747,0.7429,20.9,24.1,0.205,0,54,899,jerk_dip,0,False
0.4166,0.5894,0.476,0.7354,22.1,22.9,0.206,0,57,949,jerk_dip,0,False
0.4167,0.5937,0.4738,0.7386,21.5,23.5,0.202,0,60,999,jerk_dip,0,False
0.4172,0.5923,0.4737,0.7401,20.9,24.1,0.204,0,63,1049,jerk_dip,0,False
0.4167,0.5932,0.4686,0.7413,19.3,25.7,0.2,0,66,1099,jerk_dip,0,False
0.4162,0.5931,0.4688,0.7451,19.1,25.9,0.205,0,69,1149,jerk_dip,0,False
0.4153,0.5933,0.4677,0.7529,18.2,26.8,0.212,0,72,1199,jerk_dip,0,False
0.4162,0.5902,0.4723,0.7431,20.1,24.9,0.209,0,75,1249,jerk_dip,0,False
0.4171,0.5894,0.4695,0.74,19.2,25.8,0.203,0,78,1299,jerk_dip,0,False
0.4176,0.5888,0.471,0.7374,19.8,25.2,0.202,0,81,1349,jerk_dip,0,False
0.4174,0.5891,0.4716,0.7386,19.9,25.1,0.204,0,84,1399,jerk_dip,0,False
0.4193,0.5872,0.4689,0.7346,18.6,26.4,0.197,0,87,1449,jerk_dip,0,False
0.4201,0.5861,0.4671,0.7295,18.2,26.8,0.19,0,90,1499,jerk_dip,0,False
0.4212,0.5869,0.4711,0.7431,17.7,27.3,0.206,0,93,1549,jerk_dip,0,False
0.4223,0.5823,0.4699,0.7326,17.6,27.4,0.198,0,96,1599,jerk_dip,0,False
0.4223,0.5841,0.4725,0.7405,17.8,27.2,0.207,0,99,1649,jerk_dip,0,False
0.4231,0.5841,0.471,0.7335,17.8,27.2,0.197,0,102,1699,jerk_dip,0,False
0.4219,0.584,0.471,0.7358,17.9,27.1,0.201,0,105,1749,jerk_dip,0,False
0.4224,0.5817,0.472,0.7298,18.5,26.5,0.198,0,108,1799,jerk_dip,0,False
0.4207,0.5786,0.4691,0.7301,17.7,27.3,0.2,0,111,1849,jerk_dip,0,False
0.4211,0.5809,0.4692,0.7288,18.0,27.0,0.196,0,114,1899,jerk_dip,0,False
0.4219,0.5781,0.4704,0.7334,17.3,27.7,0.204,0,117,1949,jerk_dip,0,False
0.4221,0.5793,0.4673,0.7355,16.2,28.8,0.201,0,120,1999,jerk_dip,0,False
0.4227,0.5804,0.471,0.734,17.4,27.6,0.202,0,123,2049,jerk_dip,0,False
0.4216,0.579,0.4655,0.737,15.5,29.5,0.202,0,126,2099,jerk_dip,0,False
0.4211,0.5817,0.4629,0.735,15.2,29.8,0.195,0,129,2149,jerk_dip,0,False
0.4216,0.5788,0.4655,0.7297,16.2,28.8,0.195,0,132,2199,jerk_dip,0,False
