shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.4397,0.5988,0.508,0.7077,32.1,12.9,0.177,0,0,0,jerk_dip,0,False
0.4403,0.599,0.5125,0.7023,34.9,10.1,0.176,0,3,49,jerk_dip,0,False
0.4398,0.6037,0.5095,0.7164,31.8,13.2,0.182,0,6,99,jerk_dip,0,False
0.4399,0.6028,0.4996,0.7398,23.5,21.5,0.197,0,9,149,jerk_dip,0,False
0.438,0.6024,0.5028,0.7173,29.4,15.6,0.18,0,12,199,jerk_dip,0,False
0.4383,0.6047,0.5045,0.7331,27.2,17.8,0.195,0,15,249,jerk_dip,0,False
0.4358,0.6065,0.4928,0.7421,22.8,22.2,0.193,0,18,299,jerk_dip,0,False
0.4587,0.7649,0.4767,0.767,83.3,38.3,0.02,1,21,349,first_pull,0,False
0.4363,0.6026,0.4924,0.7493,20.9,24.1,0.203,0,24,399,jerk_dip,0,False
0.4355,0.6015,0.4903,0.7394,21.7,23.3,0.193,0,27,449,jerk_dip,0,False
0.4356,0.6038,0.4906,0.7382,22.2,22.8,0.189,0,30,499,jerk_dip,0,False
0.4361,0.6027,0.4906,0.7374,22.0,23.0,0.189,0,33,549,jerk_dip,0,False
0.4351,0.6031,0.4893,0.7375,21.9,23.1,0.189,0,36,599,jerk_dip,0,False
0.4349,0.6034,0.4898,0.7452,21.2,23.8,0.197,0,39,649,jerk_dip,0,False
0.4347,0.602,0.49,0.7369,22.3,22.7,0.19,0,42,699,jerk_dip,0,False
0.4353,0.6015,0.4978,0.7328,25.5,19.5,0.194,0,45,749,jerk_dip,0,False
0.4361,0.6039,0.5006,0.7381,25.7,19.3,0.199,0,48,799,jerk_dip,0,False
0.4379,0.6018,0.5033,0.7291,27.2,17.8,0.193,0,51,849,jerk_dip,0,False
0.4367,0.6018,0.4949,0.7343,23.7,21.3,0.191,0,54,899,jerk_dip,0,False
0.4373,0.601,0.4947,0.7365,23.0,22.0,0.193,0,57,949,jerk_dip,0,False
0.4366,0.6021,0.4885,0.739,20.8,24.2,0.189,0,60,999,jerk_dip,0,False
0.4364,0.5982,0.4871,0.7385,19.9,25.1,0.191,0,63,1049,jerk_dip,0,False
0.4376,0.6014,0.4963,0.7353,23.6,21.4,0.193,0,66,1099,jerk_dip,0,False
0.4372,0.6013,0.4889,0.736,21.0,24.0,0.186,0,69,1149,jerk_dip,0,False
0.4375,0.5986,0.5003,0.7242,26.6,18.4,0.188,0,72,1199,jerk_dip,0,False
0.4366,0.6021,0.4885,0.7387,20.8,24.2,0.188,0,75,1249,jerk_dip,0,False
0.436,0.5999,0.4833,0.7393,18.7,26.3,0.187,0,78,1299,jerk_dip,0,False
0.4363,0.6011,0.4852,0.7411,19.2,25.8,0.189,0,81,1349,jerk_dip,0,False
0.4352,0.5988,0.4868,0.7428,19.7,25.3,0.196,0,84,1399,jerk_dip,0,False
0.4361,0.5954,0.4851,0.746,18.0,27.0,0.2,0,87,1449,jerk_dip,0,False
0.4363,0.5949,0.4845,0.7427,18.1,26.9,0.196,0,90,1499,jerk_dip,0,False
0.4459,0.6692,0.5091,0.6619,-96.6,141.6,0.071,0,93,1549,jerk_drive,0,False
0.4317,0.5975,0.4924,0.6073,80.8,35.8,0.07,0,96,1599,first_pull,0,False
0.4386,0.5956,0.4872,0.7413,18.4,26.6,0.194,0,99,1649,jerk_dip,0,False
0.4389,0.5962,0.4886,0.7449,18.5,26.5,0.198,0,102,1699,jerk_dip,0,False
0.4389,0.5939,0.4842,0.7381,17.4,27.6,0.189,0,105,1749,jerk_dip,0,False
0.4382,0.5935,0.4848,0.7432,17.3,27.7,0.196,0,108,1799,jerk_dip,0,False
0.4389,0.5926,0.4838,0.744,16.5,28.5,0.196,0,111,1849,jerk_dip,0,False
0.4385,0.5913,0.4835,0.7468,16.1,28.9,0.201,0,114,1899,jerk_dip,0,False
