shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.8018,0.4845,0.7846,0.6068,8.0,37.0,0.139,0,0,0,clean_catch,0,False
0.8005,0.4846,0.7845,0.6088,7.3,37.7,0.14,0,3,49,clean_catch,0,False
0.8006,0.4838,0.7846,0.609,7.3,37.7,0.141,0,6,99,clean_catch,0,False
0.7999,0.4815,0.7827,0.6051,7.9,37.1,0.141,0,9,149,clean_catch,0,False
0.5234,0.3601,0.5296,0.5059,2.4,42.6,0.152,0,12,199,clean_catch,0,False
0.5212,0.365,0.5271,0.5045,2.4,42.6,0.145,0,15,249,clean_catch,0,False
0.5191,0.3637,0.5259,0.5073,2.7,42.3,0.15,0,18,299,clean_catch,0,False
0.5165,0.3628,0.5242,0.5105,3.0,42.0,0.155,0,21,349,clean_catch,0,False
0.5144,0.3668,0.5217,0.5128,2.9,42.1,0.153,0,24,399,clean_catch,0,False
0.5117,0.369,0.5221,0.5121,4.2,40.8,0.154,0,27,449,clean_catch,0,False
0.5087,0.3701,0.5181,0.5181,3.6,41.4,0.157,0,30,499,clean_catch,0,False
0.5055,0.3723,0.5166,0.5174,4.4,40.6,0.156,0,33,549,clean_catch,0,False
0.5043,0.3731,0.5162,0.517,4.7,40.3,0.156,0,36,599,clean_catch,0,False
0.5022,0.3744,0.5172,0.5155,6.1,38.9,0.156,0,39,649,clean_catch,0,False
0.5005,0.3782,0.5161,0.5231,6.1,38.9,0.16,0,42,699,clean_catch,0,False
0.499,0.3779,0.5169,0.5204,7.2,37.8,0.16,0,45,749,clean_catch,0,False
0.499,0.379,0.5156,0.521,6.7,38.3,0.159,0,48,799,clean_catch,0,False
0.4972,0.3815,0.515,0.5189,7.4,37.6,0.155,0,51,849,clean_catch,0,False
0.4979,0.3813,0.5178,0.5165,8.4,36.6,0.155,0,54,899,clean_catch,0,False
0.4974,0.3817,0.5167,0.5191,8.0,37.0,0.157,0,57,949,clean_catch,0,False
0.4985,0.3842,0.5165,0.5232,7.4,37.6,0.157,0,60,999,clean_catch,0,False
0.4988,0.3865,0.5186,0.5217,8.3,36.7,0.155,0,63,1049,clean_catch,0,False
0.4975,0.3874,0.5187,0.5216,9.0,36.0,0.155,0,66,1099,clean_catch,0,False
0.4973,0.3887,0.5187,0.5267,8.8,36.2,0.159,0,69,1149,clean_catch,0,False
0.4978,0.3893,0.5187,0.5233,8.9,36.1,0.155,0,72,1199,clean_catch,0,False
0.4976,0.3931,0.5193,0.5235,9.4,35.6,0.152,0,75,1249,clean_catch,0,False
0.495,0.3974,0.5225,0.5261,12.0,33.0,0.156,0,78,1299,jerk_dip,0,False
0.4911,0.4035,0.5197,0.521,13.7,31.3,0.146,0,81,1349,jerk_dip,0,False
0.4938,0.4184,0.5211,0.5413,12.6,32.4,0.15,0,84,1399,jerk_dip,0,False
0.4931,0.4284,0.5249,0.5296,17.5,27.5,0.133,0,87,1449,jerk_dip,0,False
0.4904,0.4484,0.5314,0.5418,23.7,21.3,0.134,0,90,1499,jerk_dip,0,False
0.4893,0.4661,0.5358,0.5445,30.7,14.3,0.125,0,93,1549,jerk_dip,0,False
0.4876,0.4845,0.5381,0.5464,39.2,5.8,0.112,0,96,1599,first_pull,0,False
0.4883,0.4981,0.5398,0.5475,46.2,1.2,0.101,0,99,1649,first_pull,0,False
0.4879,0.5111,0.5398,0.5508,52.6,7.6,0.092,0,102,1699,first_pull,0,False
0.4856,0.5211,0.5399,0.5529,59.6,14.6,0.086,0,105,1749,first_pull,0,False
0.486,0.529,0.5427,0.5532,66.8,21.8,0.081,0,108,1799,first_pull,0,False
0.5121,0.5316,0.5125,0.5922,0.5,44.5,0.061,0,111,1849,clean_catch,0,False
0.5387,0.5337,0.5194,0.5941,17.7,27.3,0.08,0,114,1899,jerk_dip,0,False
0.5147,0.5364,0.516,0.5711,2.3,42.7,0.036,0,117,1949,clean_catch,0,False
0.5213,0.5415,0.5249,0.5797,5.4,39.6,0.042,0,120,1999,clean_catch,0,False
0.5173,0.5452,0.5076,0.6026,9.6,35.4,0.067,1,123,2049,clean_catch,0,False
0.5095,0.543,0.5079,0.5981,1.7,43.3,0.057,0,126,2099,clean_catch,0,False
0.5121,0.5374,0.5157,0.5915,3.9,41.1,0.058,0,129,2149,clean_catch,0,False
0.5129,0.5284,0.5162,0.5844,3.4,41.6,0.059,0,132,2199,clean_catch,0,False
0.5024,0.5406,0.5175,0.5669,29.7,15.3,0.041,0,135,2249,jerk_dip,0,False
0.4967,0.5575,0.5177,0.5544,-98.5,143.5,0.024,0,138,2299,jerk_drive,0,False
0.4974,0.5566,0.5193,0.555,-94.3,139.3,0.024,0,141,2349,jerk_drive,0,False
0.4951,0.5513,0.5172,0.5599,68.7,23.7,0.031,0,144,2399,first_pull,0,False
0.4954,0.5787,0.5234,0.5118,-157.3,202.3,0.095,0,147,2448,jerk_drive,0,False
0.5025,0.6017,0.5258,0.5095,-165.8,210.8,0.115,0,150,2498,jerk_drive,0,False
0.4958,0.5873,0.5208,0.5102,-162.0,207.0,0.102,0,153,2548,jerk_drive,0,False
0.496,0.5877,0.5238,0.5205,-157.5,202.5,0.095,0,156,2598,jerk_drive,0,False
0.492,0.5904,0.5276,0.5182,-153.7,198.7,0.108,0,159,2648,jerk_drive,0,False
0.4869,0.6045,0.5253,0.5168,-156.4,201.4,0.126,0,162,2698,jerk_drive,0,False
0.4917,0.6001,0.5262,0.519,-157.0,202.0,0.116,0,165,2748,jerk_drive,0,False
0.4889,0.6283,0.5269,0.5195,-160.7,205.7,0.147,0,168,2798,jerk_drive,0,False
0.4893,0.6224,0.5302,0.5147,-159.2,204.2,0.149,0,171,2848,jerk_drive,0,False
0.4876,0.605,0.5283,0.5192,-154.6,199.6,0.126,0,174,2898,jerk_drive,0,False
0.4911,0.5887,0.5273,0.5226,-151.3,196.3,0.102,0,177,2948,jerk_drive,0,False
0.495,0.5871,0.5326,0.5235,-149.4,194.4,0.101,0,180,2998,jerk_drive,0,False
0.4924,0.5873,0.5301,0.5263,-148.3,193.3,0.099,0,183,3048,jerk_drive,0,False
0.4929,0.5848,0.5352,0.5269,-143.8,188.8,0.1,0,186,3098,jerk_drive,0,False
0.4854,0.6549,0.5273,0.5125,-163.6,208.6,0.184,1,189,3148,jerk_drive,0,False
0.4927,0.5806,0.5409,0.5311,-135.7,180.7,0.098,0,192,3198,jerk_drive,0,True
0.4925,0.5758,0.5405,0.5308,-133.2,178.2,0.093,0,195,3248,jerk_drive,0,True
0.4929,0.5749,0.5435,0.5346,-128.5,173.5,0.091,0,198,3298,jerk_drive,0,True
0.4919,0.5749,0.5421,0.5365,-127.4,172.4,0.089,0,201,3348,jerk_drive,0,True
0.4923,0.5746,0.5415,0.534,-129.5,174.5,0.09,0,204,3398,jerk_drive,0,True
0.4871,0.642,0.524,0.5128,-164.0,209.0,0.166,1,207,3448,jerk_drive,0,True
0.8019,0.4796,0.7741,0.5888,14.3,30.7,0.137,0,210,3498,jerk_dip,0,True
0.486,0.6392,0.5299,0.5027,-162.2,207.2,0.18,0,213,3548,jerk_drive,0,True
0.4887,0.6073,0.5328,0.5248,-151.9,196.9,0.126,0,216,3598,jerk_drive,0,True
0.491,0.5906,0.5306,0.515,-152.3,197.3,0.115,0,219,3648,jerk_drive,0,True
0.7967,0.4793,0.7757,0.5942,10.3,34.7,0.136,0,222,3698,jerk_dip,0,True
0.4812,0.6625,0.5307,0.5141,-161.5,206.5,0.198,1,225,3748,jerk_drive,0,True
0.4865,0.6259,0.529,0.5295,-156.2,201.2,0.139,0,228,3798,jerk_drive,0,True
0.4953,0.5855,0.531,0.5245,-149.7,194.7,0.097,0,231,3848,jerk_drive,0,True
0.4965,0.59,0.5338,0.5297,-148.3,193.3,0.098,0,234,3898,jerk_drive,0,False
0.4934,0.5843,0.5369,0.5321,-140.1,185.1,0.096,0,237,3948,jerk_drive,0,False
0.4921,0.5862,0.5396,0.533,-138.3,183.3,0.101,0,240,3998,jerk_drive,0,False
0.4914,0.58,0.5408,0.5359,-131.7,176.7,0.094,0,243,4048,jerk_drive,0,False
0.4924,0.5786,0.5441,0.5404,-126.5,171.5,0.09,0,246,4098,jerk_drive,0,False
0.4928,0.5766,0.5452,0.5404,-124.6,169.6,0.089,0,249,4148,jerk_drive,0,False
0.4915,0.5677,0.5447,0.5431,-114.8,159.8,0.078,0,252,4198,jerk_drive,0,False
