shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.4781,0.6533,0.4755,0.7367,1.8,43.2,0.086,0,0,0,clean_catch,0,False
0.4779,0.6534,0.4747,0.7363,2.2,42.8,0.086,0,3,50,clean_catch,0,False
0.4779,0.6569,0.4756,0.7336,1.8,43.2,0.079,0,6,100,clean_catch,0,False
0.4775,0.6583,0.4741,0.7361,2.5,42.5,0.081,0,9,150,clean_catch,0,False
0.4758,0.656,0.4733,0.7381,1.8,43.2,0.085,0,12,200,clean_catch,0,False
0.4764,0.6564,0.4742,0.7331,1.7,43.3,0.079,0,15,250,clean_catch,0,False
0.4769,0.656,0.4761,0.7356,0.6,44.4,0.08,0,18,300,clean_catch,0,False
0.4786,0.655,0.4736,0.7411,3.3,41.7,0.091,0,21,350,clean_catch,0,False
0.4787,0.6494,0.4711,0.7504,4.3,40.7,0.109,0,24,400,clean_catch,0,False
0.4795,0.6479,0.4718,0.7519,4.3,40.7,0.112,0,27,450,clean_catch,0,False
0.4794,0.6473,0.4711,0.7509,4.6,40.4,0.112,0,30,500,clean_catch,0,False
0.4791,0.6467,0.4728,0.7456,3.6,41.4,0.105,0,33,550,clean_catch,0,False
0.4795,0.6422,0.4728,0.7502,3.5,41.5,0.115,0,36,600,clean_catch,0,False
0.478,0.6431,0.4717,0.7577,3.2,41.8,0.121,0,39,650,clean_catch,0,False
0.4786,0.64,0.4727,0.748,3.2,41.8,0.114,0,42,700,clean_catch,0,False
0.4775,0.6379,0.473,0.7569,2.2,42.8,0.124,0,45,750,clean_catch,0,False
0.478,0.6354,0.4736,0.7532,2.2,42.8,0.122,0,48,800,clean_catch,0,False
0.4775,0.6385,0.4732,0.7547,2.1,42.9,0.12,0,51,850,clean_catch,0,False
0.4785,0.6378,0.4745,0.7534,2.0,43.0,0.12,0,54,900,clean_catch,0,False
0.4789,0.6371,0.4731,0.755,2.8,42.2,0.124,0,57,950,clean_catch,0,False
0.4779,0.6367,0.4737,0.7539,2.1,42.9,0.121,0,60,1000,clean_catch,0,False
0.4782,0.6345,0.4746,0.7548,1.7,43.3,0.124,0,63,1050,clean_catch,0,False
0.4777,0.6342,0.4759,0.7575,0.9,44.1,0.125,0,66,1100,clean_catch,0,False
0.4771,0.6349,0.4748,0.7556,1.2,43.8,0.123,0,69,1150,clean_catch,0,False
0.4773,0.636,0.4743,0.7556,1.5,43.5,0.123,0,72,1200,clean_catch,0,False
0.4783,0.6358,0.4759,0.7581,1.2,43.8,0.125,0,75,1250,clean_catch,0,False
0.4791,0.6363,0.4753,0.7603,1.8,43.2,0.128,0,78,1300,clean_catch,0,False
0.4789,0.6356,0.475,0.7601,1.8,43.2,0.128,0,81,1350,clean_catch,0,False
0.4788,0.6366,0.4754,0.7591,1.6,43.4,0.126,0,84,1400,clean_catch,0,False
0.4777,0.6356,0.4752,0.7529,1.2,43.8,0.12,0,87,1450,clean_catch,0,False
0.4778,0.6351,0.4751,0.7513,1.4,43.6,0.119,0,90,1500,clean_catch,0,False
0.4781,0.6344,0.4744,0.7566,1.7,43.3,0.126,0,93,1550,clean_catch,0,False
0.4782,0.6345,0.4745,0.7578,1.8,43.2,0.127,0,96,1600,clean_catch,0,False
0.4781,0.6331,0.4751,0.7545,1.5,43.5,0.124,0,99,1650,clean_catch,0,False
0.4782,0.6342,0.475,0.7521,1.6,43.4,0.121,0,102,1700,clean_catch,0,False
0.478,0.6307,0.4739,0.7529,1.9,43.1,0.126,0,105,1750,clean_catch,0,False
0.4769,0.6311,0.4736,0.7539,1.6,43.4,0.126,0,108,1800,clean_catch,0,False
0.4764,0.6322,0.4737,0.7573,1.3,43.7,0.128,0,111,1850,clean_catch,0,False
0.4769,0.6324,0.4737,0.7568,1.5,43.5,0.128,0,114,1900,clean_catch,0,False
0.4765,0.6323,0.4736,0.7573,1.3,43.7,0.128,0,117,1950,clean_catch,0,False
0.4759,0.6321,0.4731,0.757,1.3,43.7,0.128,0,120,2000,clean_catch,0,False
0.4758,0.6306,0.473,0.7558,1.3,43.7,0.128,0,123,2050,clean_catch,0,False
0.4761,0.63,0.4722,0.7575,1.8,43.2,0.131,0,126,2100,clean_catch,0,False
0.4761,0.6324,0.4728,0.7572,1.5,43.5,0.128,0,129,2150,clean_catch,0,False
0.4764,0.6319,0.4736,0.7599,1.3,43.7,0.131,0,132,2200,clean_catch,0,False
0.4759,0.6346,0.4734,0.7606,1.1,43.9,0.128,0,135,2250,clean_catch,0,False
0.4762,0.6311,0.4723,0.7591,1.8,43.2,0.132,0,138,2300,clean_catch,0,False
0.4761,0.6311,0.4733,0.7586,1.3,43.7,0.13,0,141,2350,clean_catch,0,False
0.4765,0.6311,0.4735,0.7586,1.3,43.7,0.13,0,144,2400,clean_catch,0,False
0.4766,0.6319,0.4738,0.7571,1.3,43.7,0.128,0,147,2450,clean_catch,0,False
0.4766,0.6338,0.4748,0.759,0.9,44.1,0.127,0,150,2500,clean_catch,0,False
0.4766,0.63,0.4738,0.7599,1.3,43.7,0.133,0,153,2550,clean_catch,0,False
0.4762,0.6321,0.4745,0.7598,0.8,44.2,0.129,0,156,2600,clean_catch,0,False
0.4768,0.632,0.4745,0.7592,1.0,44.0,0.13,0,159,2650,clean_catch,0,False
0.4763,0.6321,0.4739,0.7578,1.1,43.9,0.128,0,162,2700,clean_catch,0,False
0.4761,0.6304,0.4737,0.7597,1.1,43.9,0.132,0,165,2750,clean_catch,0,False
0.4762,0.6305,0.4738,0.7573,1.1,43.9,0.129,0,168,2800,clean_catch,0,False
0.4773,0.63,0.4743,0.7573,1.4,43.6,0.13,0,171,2850,clean_catch,0,False
0.4768,0.6288,0.4739,0.7577,1.3,43.7,0.132,0,174,2900,clean_catch,0,False
0.4768,0.6313,0.4736,0.7575,1.5,43.5,0.129,0,177,2950,clean_catch,0,False
0.4768,0.6318,0.4738,0.7561,1.4,43.6,0.127,0,180,3000,clean_catch,0,False
0.4766,0.6318,0.4745,0.758,1.0,44.0,0.128,0,183,3050,clean_catch,0,False
0.4768,0.6307,0.4748,0.7593,0.9,44.1,0.131,0,186,3100,clean_catch,0,False
0.4774,0.633,0.4739,0.762,1.6,43.4,0.132,0,189,3150,clean_catch,0,False
0.4766,0.6358,0.474,0.761,1.2,43.8,0.128,0,192,3200,clean_catch,0,False
0.4768,0.6336,0.4749,0.7606,0.9,44.1,0.129,0,195,3250,clean_catch,0,False
0.4769,0.6322,0.4752,0.7584,0.8,44.2,0.128,0,198,3300,clean_catch,0,False
0.4775,0.6327,0.4744,0.7617,1.4,43.6,0.132,0,201,3350,clean_catch,0,False
0.4771,0.6333,0.4741,0.7631,1.4,43.6,0.133,0,204,3400,clean_catch,0,False
0.4762,0.6353,0.4739,0.7602,1.1,43.9,0.127,0,207,3450,clean_catch,0,False
0.4765,0.6345,0.473,0.759,1.6,43.4,0.128,0,210,3500,clean_catch,0,False
0.4768,0.6363,0.474,0.7599,1.3,43.7,0.126,0,213,3550,clean_catch,0,False
0.4791,0.6358,0.4749,0.7586,1.9,43.1,0.127,0,216,3600,clean_catch,0,False
0.4781,0.6339,0.474,0.76,1.8,43.2,0.13,0,219,3650,clean_catch,0,False
0.4778,0.636,0.4749,0.7604,1.4,43.6,0.127,0,222,3700,clean_catch,0,False
0.4786,0.6349,0.4751,0.7603,1.6,43.4,0.129,0,225,3750,clean_catch,0,False
0.4786,0.6359,0.4755,0.7588,1.5,43.5,0.126,0,228,3800,clean_catch,0,False
0.4781,0.6362,0.4753,0.7606,1.3,43.7,0.127,0,231,3850,clean_catch,0,False
0.4779,0.6353,0.4746,0.7589,1.6,43.4,0.127,0,234,3900,clean_catch,0,False
0.4779,0.6342,0.4757,0.7594,1.0,44.0,0.127,0,237,3950,clean_catch,0,False
0.4774,0.6356,0.4751,0.7635,1.1,43.9,0.13,0,240,4000,clean_catch,0,False
0.478,0.6358,0.4738,0.7642,1.9,43.1,0.133,0,243,4050,clean_catch,0,False
0.4774,0.6356,0.4744,0.7638,1.4,43.6,0.131,0,246,4100,clean_catch,0,False
0.4771,0.6373,0.4739,0.7612,1.5,43.5,0.127,0,249,4150,clean_catch,0,False
0.4783,0.6379,0.4746,0.7642,1.7,43.3,0.13,0,252,4200,clean_catch,0,False
