shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.4529,0.6617,0.4626,0.5873,-172.6,217.6,0.084,0,0,0,jerk_drive,0,True
0.4541,0.6491,0.4603,0.5693,-175.5,220.5,0.086,0,3,50,jerk_drive,0,True
0.453,0.6512,0.4585,0.5699,-176.2,221.2,0.087,0,6,100,jerk_drive,0,True
0.4494,0.6876,0.4565,0.64,-171.5,216.5,0.055,0,9,150,jerk_drive,0,True
0.4502,0.6783,0.4559,0.6316,-173.0,218.0,0.052,0,12,200,jerk_drive,0,True
0.452,0.6567,0.4553,0.5815,-177.5,222.5,0.078,0,15,250,jerk_drive,0,True
0.4551,0.6478,0.4656,0.5974,-168.2,213.2,0.061,0,18,300,jerk_drive,0,True
0.4465,0.6498,0.4518,0.5998,-173.9,218.9,0.055,0,21,350,jerk_drive,0,True
0.4508,0.6542,0.4614,0.5961,-169.6,214.6,0.069,0,24,400,jerk_drive,0,True
0.4487,0.6565,0.4577,0.5925,-172.0,217.0,0.073,0,27,450,jerk_drive,0,True
0.4487,0.6463,0.4552,0.5874,-173.8,218.8,0.065,0,30,500,jerk_drive,0,True
0.4462,0.6407,0.4522,0.5878,-173.5,218.5,0.059,0,33,550,jerk_drive,0,True
0.4456,0.645,0.45,0.5936,-175.1,220.1,0.056,0,36,600,jerk_drive,0,False
0.4447,0.6544,0.4498,0.5904,-175.4,220.4,0.069,0,39,650,jerk_drive,0,False
0.4461,0.6563,0.4513,0.6019,-174.5,219.5,0.06,0,42,700,jerk_drive,0,False
0.4535,0.6588,0.4499,0.6215,-174.5,219.5,0.041,0,45,750,jerk_drive,0,False
0.4593,0.6505,0.4566,0.6341,-170.7,215.7,0.019,0,48,800,jerk_drive,0,False
0.4501,0.6712,0.4511,0.6397,-178.2,223.2,0.032,0,51,850,jerk_drive,0,False
0.4503,0.6658,0.453,0.5896,-177.9,222.9,0.079,0,54,900,jerk_drive,0,False
0.4504,0.6618,0.4515,0.619,-178.4,223.4,0.044,0,57,950,jerk_drive,0,False
0.4476,0.5982,0.4536,0.6645,5.2,39.8,0.072,0,60,1000,clean_catch,0,False
0.4496,0.6196,0.4564,0.6412,17.4,27.6,0.028,0,63,1050,jerk_dip,0,False
0.4515,0.6216,0.4613,0.6494,19.3,25.7,0.037,0,66,1100,jerk_dip,0,False
0.4527,0.6211,0.4629,0.6463,22.2,22.8,0.035,0,69,1150,jerk_dip,0,False
0.4487,0.62,0.4623,0.6588,19.3,25.7,0.052,0,72,1200,jerk_dip,0,False
0.4494,0.6214,0.451,0.6756,1.7,43.3,0.056,0,75,1250,clean_catch,0,False
0.449,0.6225,0.4492,0.6865,0.4,44.6,0.064,0,78,1300,clean_catch,0,False
0.45,0.6203,0.4515,0.6881,1.2,43.8,0.069,0,81,1350,clean_catch,0,False
0.4504,0.6227,0.4528,0.6944,1.9,43.1,0.074,0,84,1400,clean_catch,0,False
0.4496,0.6199,0.4516,0.6935,1.6,43.4,0.076,0,87,1450,clean_catch,0,False
0.4497,0.6196,0.4517,0.6935,1.6,43.4,0.076,0,90,1500,clean_catch,0,False
0.45,0.6184,0.4516,0.6977,1.3,43.7,0.081,0,93,1550,clean_catch,0,False
0.4516,0.6189,0.4527,0.6978,0.9,44.1,0.08,0,96,1600,clean_catch,0,False
0.451,0.6205,0.452,0.6978,0.8,44.2,0.078,0,99,1650,clean_catch,0,False
0.4526,0.6201,0.4542,0.7004,1.2,43.8,0.082,0,102,1700,clean_catch,0,False
0.452,0.6185,0.452,0.7039,0.3,44.7,0.085,0,105,1750,clean_catch,0,False
0.4517,0.6184,0.4506,0.7057,0.8,44.2,0.088,0,108,1800,clean_catch,0,False
0.4509,0.6168,0.4497,0.7063,0.8,44.2,0.091,0,111,1850,clean_catch,0,False
0.451,0.6169,0.4502,0.7064,0.5,44.5,0.09,0,114,1900,clean_catch,0,False
0.4511,0.619,0.4508,0.7073,0.3,44.7,0.089,0,117,1950,clean_catch,0,False
0.4508,0.6176,0.4514,0.7095,0.4,44.6,0.092,0,120,2000,clean_catch,0,False
