shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.1198,0.5455,0.0927,0.717,9.0,36.0,0.199,0,0,0,clean_catch,0,False
0.1161,0.5488,0.0973,0.7214,6.2,38.8,0.191,0,3,50,clean_catch,0,False
0.1168,0.5481,0.0944,0.7214,7.4,37.6,0.196,0,6,100,clean_catch,0,False
0.5931,0.5638,0.5719,0.5943,34.8,10.2,0.052,0,9,150,jerk_dip,0,False
0.5533,0.6028,0.5551,0.529,-178.6,223.6,0.076,0,12,200,jerk_drive,0,True
0.5493,0.6231,0.5498,0.563,-179.4,224.4,0.061,0,15,250,jerk_drive,0,True
0.5469,0.621,0.546,0.5737,-178.8,223.8,0.048,0,18,300,jerk_drive,0,True
0.5484,0.6152,0.5356,0.5457,-169.6,214.6,0.082,0,21,350,jerk_drive,0,True
0.5487,0.6,0.5278,0.5411,-160.5,205.5,0.08,1,24,400,jerk_drive,0,True
0.5502,0.6102,0.5333,0.5654,-159.2,204.2,0.062,1,27,450,jerk_drive,0,True
0.6223,0.5119,0.574,0.6021,28.2,16.8,0.139,0,30,500,jerk_dip,0,True
0.5945,0.5483,0.5643,0.598,31.3,13.7,0.08,1,33,550,jerk_dip,0,True
0.1123,0.5513,0.094,0.7259,6.0,39.0,0.193,0,36,600,clean_catch,0,True
0.1138,0.5544,0.095,0.7286,6.2,38.8,0.193,0,39,650,clean_catch,0,True
0.1126,0.5518,0.0933,0.725,6.3,38.7,0.192,0,42,700,clean_catch,0,True
0.5479,0.6174,0.542,0.5553,-174.6,219.6,0.068,0,45,750,jerk_drive,0,True
0.5504,0.6339,0.5439,0.5673,-174.5,219.5,0.073,0,48,800,jerk_drive,0,True
0.5496,0.6055,0.5406,0.5563,-169.6,214.6,0.058,0,51,850,jerk_drive,0,True
0.5476,0.6129,0.5382,0.5701,-167.5,212.5,0.052,0,54,900,jerk_drive,0,True
0.5473,0.6241,0.5349,0.5776,-165.0,210.0,0.059,0,57,950,jerk_drive,0,True
0.5457,0.6365,0.5306,0.5789,-165.3,210.3,0.073,1,60,1000,jerk_drive,0,True
0.5511,0.6107,0.5455,0.5574,-174.0,219.0,0.059,0,63,1050,jerk_drive,0,True
0.5526,0.6293,0.5537,0.5674,-178.9,223.9,0.063,0,66,1100,jerk_drive,0,True
0.5568,0.6312,0.5572,0.5644,-179.6,224.6,0.067,0,69,1150,jerk_drive,0,True
0.5611,0.6413,0.5392,0.6088,-146.0,191.0,0.054,1,72,1200,jerk_drive,0,True
0.5642,0.6513,0.5474,0.6198,-151.9,196.9,0.048,1,75,1250,jerk_drive,0,True
0.5552,0.6298,0.5428,0.6046,-153.9,198.9,0.037,1,78,1300,jerk_drive,0,True
0.5508,0.6361,0.5456,0.5816,-174.6,219.6,0.06,0,81,1350,jerk_drive,0,True
0.5531,0.6269,0.5509,0.5592,-178.1,223.1,0.07,0,84,1400,jerk_drive,0,True
0.5526,0.6325,0.5524,0.5728,-179.6,224.6,0.06,0,87,1450,jerk_drive,0,True
0.5535,0.635,0.5509,0.5767,-177.5,222.5,0.061,0,90,1500,jerk_drive,0,True
0.5534,0.6421,0.5546,0.5761,-178.9,223.9,0.067,0,93,1550,jerk_drive,0,True
0.554,0.6286,0.5535,0.5776,-179.4,224.4,0.052,0,96,1600,jerk_drive,0,True
0.5532,0.6285,0.5512,0.5844,-177.3,222.3,0.046,0,99,1650,jerk_drive,0,True
0.554,0.6167,0.5502,0.5611,-176.1,221.1,0.059,0,102,1700,jerk_drive,0,True
0.5536,0.6173,0.5467,0.5624,-172.9,217.9,0.062,0,105,1750,jerk_drive,0,True
0.5513,0.6174,0.5438,0.5502,-173.6,218.6,0.075,0,108,1800,jerk_drive,0,True
0.5491,0.5983,0.5526,0.6359,5.4,39.6,0.041,0,111,1850,clean_catch,0,True
0.5546,0.6196,0.5452,0.5502,-172.2,217.2,0.079,0,114,1900,jerk_drive,0,True
0.5534,0.6175,0.5466,0.5418,-174.9,219.9,0.082,0,117,1950,jerk_drive,0,True
0.5508,0.602,0.5525,0.6324,3.2,41.8,0.032,0,120,2000,clean_catch,0,True
0.5556,0.6287,0.5544,0.5607,-178.9,223.9,0.069,0,123,2050,jerk_drive,0,True
0.5542,0.6429,0.5586,0.5819,-175.9,220.9,0.065,0,126,2100,jerk_drive,0,True
0.5516,0.6226,0.5541,0.56,-177.7,222.7,0.065,0,129,2150,jerk_drive,0,True
0.554,0.6408,0.5578,0.5776,-176.6,221.6,0.067,0,132,2200,jerk_drive,0,True
0.5553,0.6285,0.5487,0.5627,-174.3,219.3,0.072,0,135,2250,jerk_drive,0,True
0.5535,0.6242,0.5576,0.5731,-175.3,220.3,0.055,0,138,2300,jerk_drive,0,True
0.5557,0.6392,0.5541,0.5952,-177.9,222.9,0.046,0,141,2350,jerk_drive,0,True
0.5512,0.643,0.5503,0.5945,-178.8,223.8,0.05,0,144,2400,jerk_drive,0,True
0.5502,0.6171,0.5502,0.5837,-179.5,224.5,0.033,0,147,2450,jerk_drive,0,False
0.5559,0.6276,0.5483,0.5842,-170.1,215.1,0.051,0,150,2500,jerk_drive,0,False
0.5502,0.6211,0.5488,0.5526,-178.8,223.8,0.07,0,153,2550,jerk_drive,0,False
0.5517,0.6129,0.5427,0.5446,-172.5,217.5,0.077,0,156,2600,jerk_drive,0,False
0.5483,0.616,0.5463,0.5298,-178.6,223.6,0.088,0,159,2650,jerk_drive,0,False
