shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.5386,0.4999,0.4544,0.5668,51.5,6.5,0.151,0,0,0,first_pull,0,False
0.5402,0.5027,0.4598,0.5657,51.9,6.9,0.143,0,3,50,first_pull,0,False
0.5411,0.5032,0.4617,0.5693,50.2,5.2,0.146,0,6,100,first_pull,0,False
0.5406,0.5054,0.4645,0.5732,48.3,3.3,0.144,0,9,150,first_pull,0,False
0.5412,0.5035,0.4641,0.5701,49.2,4.2,0.144,0,12,200,first_pull,0,False
0.5427,0.5055,0.4649,0.5744,48.5,3.5,0.147,0,15,250,first_pull,0,False
0.5424,0.5002,0.4645,0.5737,46.6,1.6,0.151,0,18,301,first_pull,0,False
0.5441,0.4996,0.4654,0.5758,45.9,0.9,0.155,0,21,351,first_pull,0,False
0.5429,0.5005,0.4649,0.575,46.3,1.3,0.153,0,24,401,first_pull,0,False
0.544,0.4995,0.4656,0.577,45.3,0.3,0.156,0,27,451,first_pull,0,False
0.5437,0.4984,0.4663,0.5778,44.2,0.8,0.157,0,30,501,first_pull,0,False
0.5452,0.4982,0.4686,0.5771,44.2,0.8,0.155,0,33,551,first_pull,0,False
0.5444,0.5002,0.4671,0.5791,44.4,0.6,0.156,0,36,602,first_pull,0,False
0.5443,0.5012,0.4671,0.5782,45.1,0.1,0.154,0,39,652,first_pull,0,False
0.544,0.5004,0.4692,0.576,44.7,0.3,0.15,0,42,702,first_pull,0,False
0.5426,0.4977,0.4682,0.5779,42.9,2.1,0.155,0,45,752,first_pull,0,False
0.5436,0.4982,0.4667,0.5792,43.5,1.5,0.158,1,48,802,first_pull,0,False
0.5429,0.4988,0.4669,0.5789,43.5,1.5,0.156,1,51,853,first_pull,0,False
0.5421,0.4986,0.4665,0.5799,42.9,2.1,0.157,0,54,903,first_pull,0,False
0.5412,0.4941,0.4724,0.5933,34.7,10.3,0.168,0,57,953,jerk_dip,0,False
0.5389,0.4953,0.4671,0.5939,36.1,8.9,0.17,0,60,1003,first_pull,0,False
0.5385,0.4939,0.4702,0.5939,34.3,10.7,0.168,0,63,1053,jerk_dip,0,False
0.5419,0.491,0.4694,0.5792,39.4,5.6,0.161,0,66,1103,first_pull,0,False
0.5401,0.4924,0.4692,0.5808,38.7,6.3,0.159,1,69,1154,first_pull,0,False
0.5388,0.4929,0.4677,0.5799,39.2,5.8,0.158,0,72,1204,first_pull,0,False
0.5389,0.4929,0.4688,0.5791,39.1,5.9,0.156,0,75,1254,first_pull,0,False
0.5389,0.4929,0.4708,0.5796,38.1,6.9,0.155,0,78,1304,first_pull,0,False
0.5395,0.491,0.4718,0.5786,37.7,7.3,0.155,0,81,1354,first_pull,0,False
0.5401,0.4921,0.471,0.5781,38.8,6.2,0.155,1,84,1405,first_pull,0,False
0.5394,0.489,0.471,0.5781,37.5,7.5,0.158,1,87,1455,first_pull,0,False
0.5401,0.4926,0.4709,0.5793,38.6,6.4,0.156,1,90,1505,first_pull,0,False
0.54,0.4901,0.4709,0.5786,38.0,7.0,0.158,0,93,1555,first_pull,0,False
0.5398,0.4915,0.4703,0.5779,38.8,6.2,0.156,1,96,1605,first_pull,0,False
0.5388,0.492,0.4703,0.5784,38.4,6.6,0.155,0,99,1655,first_pull,0,False
0.539,0.4877,0.4702,0.5775,37.5,7.5,0.159,1,102,1706,first_pull,0,False
0.5385,0.4898,0.4705,0.5794,37.2,7.8,0.158,0,105,1756,first_pull,0,False
0.5396,0.4917,0.4711,0.577,38.8,6.2,0.154,1,108,1806,first_pull,0,False
0.5397,0.4927,0.4698,0.5787,39.2,5.8,0.156,1,111,1856,first_pull,0,False
0.5391,0.4914,0.469,0.5787,38.8,6.2,0.157,0,114,1906,first_pull,0,False
0.5382,0.4909,0.4679,0.5829,37.4,7.6,0.162,0,117,1957,first_pull,0,False
0.5391,0.489,0.4698,0.5812,36.9,8.1,0.162,0,120,2007,first_pull,0,False
0.5377,0.4915,0.4698,0.5807,37.3,7.7,0.157,0,123,2057,first_pull,0,False
0.5387,0.4939,0.4703,0.5802,38.4,6.6,0.155,1,126,2107,first_pull,0,False
0.5384,0.4931,0.4706,0.5811,37.6,7.4,0.156,1,129,2157,first_pull,0,False
0.5386,0.4926,0.4684,0.5826,37.9,7.1,0.16,1,132,2207,first_pull,0,False
0.5384,0.4904,0.4693,0.581,37.3,7.7,0.16,1,135,2258,first_pull,0,False
0.5388,0.4903,0.4709,0.5813,36.7,8.3,0.159,0,138,2308,first_pull,0,False
0.5372,0.4931,0.4686,0.5836,37.2,7.8,0.159,0,141,2358,first_pull,0,False
0.5381,0.492,0.4706,0.5828,36.7,8.3,0.158,1,144,2408,first_pull,0,False
0.5378,0.4918,0.4707,0.5821,36.7,8.3,0.157,0,147,2458,first_pull,0,False
0.5391,0.493,0.4697,0.5816,38.1,6.9,0.158,1,150,2509,first_pull,0,False
0.5385,0.4917,0.47,0.582,37.2,7.8,0.159,1,153,2559,first_pull,0,False
0.5392,0.492,0.4711,0.5799,37.8,7.2,0.156,1,156,2609,first_pull,0,False
0.5381,0.4929,0.4716,0.582,36.7,8.3,0.155,0,159,2659,first_pull,0,False
0.5393,0.4932,0.4711,0.5786,38.6,6.4,0.154,1,162,2709,first_pull,0,False
0.5399,0.4914,0.4726,0.5785,37.7,7.3,0.154,1,165,2759,first_pull,0,False
0.5388,0.4945,0.4707,0.5828,37.6,7.4,0.156,0,168,2810,first_pull,0,False
0.5406,0.49,0.4717,0.5807,37.2,7.8,0.16,1,171,2860,first_pull,0,False
0.5393,0.4925,0.4693,0.5828,37.8,7.2,0.16,0,174,2910,first_pull,0,False
0.5408,0.4911,0.4712,0.581,37.8,7.2,0.159,0,177,2960,first_pull,0,False
0.54,0.4939,0.4694,0.5821,38.7,6.3,0.159,0,180,3010,first_pull,0,False
0.5416,0.494,0.4701,0.582,39.1,5.9,0.159,0,183,3061,first_pull,0,False
0.5416,0.4939,0.4716,0.5811,38.8,6.2,0.157,0,186,3111,first_pull,0,False
0.5426,0.4936,0.472,0.5801,39.2,5.8,0.157,0,189,3161,first_pull,0,False
0.5428,0.4948,0.4703,0.5799,40.4,4.6,0.158,1,192,3211,first_pull,0,False
0.542,0.4949,0.4692,0.5806,40.3,4.7,0.158,1,195,3261,first_pull,0,False
0.5432,0.4948,0.4681,0.5799,41.4,3.6,0.16,0,198,3311,first_pull,0,False
0.5427,0.4944,0.4675,0.5795,41.5,3.5,0.16,1,201,3362,first_pull,0,False
0.5418,0.4943,0.4653,0.579,42.1,2.9,0.161,1,204,3412,first_pull,0,False
0.5429,0.4926,0.466,0.5787,41.8,3.2,0.163,0,207,3462,first_pull,0,False
0.5416,0.4938,0.4673,0.5779,41.5,3.5,0.158,1,210,3512,first_pull,0,False
0.5427,0.4903,0.4658,0.5785,41.1,3.9,0.165,0,213,3562,first_pull,0,False
0.5416,0.4896,0.467,0.579,39.9,5.1,0.164,0,216,3613,first_pull,0,False
0.5406,0.4926,0.4648,0.5784,41.4,3.6,0.162,0,219,3663,first_pull,0,False
0.5417,0.4909,0.4666,0.5797,40.2,4.8,0.164,0,222,3713,first_pull,0,False
0.5417,0.4882,0.466,0.5777,40.3,4.7,0.165,0,225,3763,first_pull,0,False
0.5391,0.49,0.4647,0.5782,40.1,4.9,0.163,0,228,3813,first_pull,0,False
0.5369,0.4883,0.4661,0.5757,39.0,6.0,0.158,0,231,3863,first_pull,0,False
0.5353,0.4868,0.4645,0.5759,38.5,6.5,0.16,0,234,3914,first_pull,0,False
0.535,0.4819,0.464,0.5726,38.0,7.0,0.162,0,237,3964,first_pull,0,False
0.5318,0.4765,0.4604,0.5662,38.5,6.5,0.161,0,240,4014,first_pull,0,False
0.5317,0.4711,0.4597,0.5609,38.7,6.3,0.162,0,243,4064,first_pull,0,False
0.5306,0.4606,0.4596,0.5535,37.4,7.6,0.164,0,246,4114,first_pull,0,False
0.5313,0.4486,0.4616,0.5477,35.1,9.9,0.169,0,249,4165,first_pull,0,False
0.5319,0.4372,0.4579,0.5346,37.2,7.8,0.171,0,252,4215,first_pull,0,False
0.5324,0.4241,0.4582,0.5224,37.0,8.0,0.173,1,255,4265,first_pull,0,False
0.5341,0.4089,0.4603,0.5045,37.7,7.3,0.169,0,258,4315,first_pull,0,False
0.5334,0.3949,0.4597,0.5011,34.7,10.3,0.18,0,261,4365,jerk_dip,0,False
0.5317,0.3819,0.4628,0.4982,30.6,14.4,0.185,0,264,4415,jerk_dip,0,False
0.5297,0.3668,0.4655,0.4944,26.7,18.3,0.192,0,267,4466,jerk_dip,0,False
0.5248,0.3506,0.4707,0.4831,22.2,22.8,0.187,0,270,4516,jerk_dip,0,False
0.5187,0.3364,0.4757,0.4853,16.1,28.9,0.192,0,273,4566,jerk_dip,0,False
0.5044,0.3162,0.4728,0.4812,10.9,34.1,0.197,0,276,4616,jerk_dip,0,True
0.4898,0.2978,0.4751,0.465,5.0,40.0,0.182,0,279,4666,clean_catch,0,True
0.4792,0.2818,0.4791,0.4508,0.2,44.8,0.169,0,282,4717,clean_catch,0,True
0.4707,0.2656,0.4822,0.4372,3.8,41.2,0.183,0,285,4767,clean_catch,0,True
0.4654,0.2664,0.4855,0.4398,6.6,38.4,0.194,0,288,4817,clean_catch,0,True
0.4698,0.2876,0.4836,0.4632,4.5,40.5,0.189,0,291,4867,clean_catch,0,True
0.4911,0.3227,0.4794,0.5016,3.8,41.2,0.191,0,294,4917,clean_catch,0,True
0.4925,0.3835,0.4794,0.5356,4.9,40.1,0.165,0,297,4967,clean_catch,0,True
0.4952,0.4086,0.4792,0.5566,6.2,38.8,0.164,0,300,5018,clean_catch,0,True
0.4982,0.4283,0.4838,0.5767,5.5,39.5,0.163,0,303,5068,clean_catch,0,True
0.5025,0.3933,0.485,0.5582,6.1,38.9,0.182,0,306,5118,clean_catch,0,True
0.4958,0.429,0.4828,0.5824,4.9,40.1,0.166,0,309,5168,clean_catch,0,True
0.5062,0.4343,0.4925,0.5691,5.8,39.2,0.148,0,312,5218,clean_catch,0,True
0.5073,0.4361,0.4991,0.5479,4.2,40.8,0.12,0,315,5269,clean_catch,0,True
0.5042,0.4641,0.4961,0.5779,4.1,40.9,0.122,0,318,5319,clean_catch,0,True
0.5032,0.4782,0.4967,0.5893,3.4,41.6,0.118,0,321,5369,clean_catch,0,True
0.5074,0.4712,0.4982,0.5869,4.5,40.5,0.125,0,324,5419,clean_catch,0,True
0.5032,0.4744,0.4977,0.5928,2.6,42.4,0.124,0,327,5469,clean_catch,0,True
0.51,0.4605,0.5015,0.5713,4.4,40.6,0.119,1,330,5519,clean_catch,0,True
0.5085,0.4568,0.5015,0.5717,3.5,41.5,0.122,0,333,5570,clean_catch,0,True
0.5022,0.4488,0.4931,0.5848,3.8,41.2,0.145,0,336,5620,clean_catch,0,True
0.5054,0.4452,0.49,0.5902,6.1,38.9,0.16,0,339,5670,clean_catch,0,False
0.5037,0.4313,0.4812,0.5866,8.2,36.8,0.178,0,342,5720,clean_catch,0,False
0.5031,0.422,0.4842,0.5699,7.3,37.7,0.167,0,345,5770,clean_catch,0,False
0.4999,0.4339,0.4782,0.5767,8.7,36.3,0.164,0,348,5821,clean_catch,0,False
0.5039,0.3951,0.4803,0.5611,8.1,36.9,0.19,0,351,5871,clean_catch,0,False
0.503,0.3914,0.4807,0.5527,7.9,37.1,0.184,0,354,5921,clean_catch,0,False
0.4987,0.3969,0.4789,0.5576,7.0,38.0,0.181,0,357,5971,clean_catch,0,False
0.4993,0.3808,0.4794,0.5512,6.7,38.3,0.19,0,360,6021,clean_catch,0,False
0.4997,0.3974,0.4806,0.55,7.1,37.9,0.172,0,363,6071,clean_catch,0,False
0.4988,0.3907,0.4795,0.5415,7.3,37.7,0.17,0,366,6122,clean_catch,0,False
0.4991,0.3992,0.4811,0.5473,6.9,38.1,0.166,0,369,6172,clean_catch,0,False
0.4994,0.3945,0.4806,0.5432,7.2,37.8,0.167,0,372,6222,clean_catch,0,False
0.5011,0.3972,0.4835,0.5426,6.9,38.1,0.163,0,375,6272,clean_catch,0,False
0.5047,0.4037,0.4883,0.5376,7.0,38.0,0.15,1,378,6322,clean_catch,0,False
0.5082,0.375,0.4917,0.519,6.5,38.5,0.161,0,381,6372,clean_catch,0,False
0.5072,0.3621,0.4923,0.5044,6.0,39.0,0.157,0,384,6423,clean_catch,0,False
0.5067,0.33,0.4934,0.4856,4.9,40.1,0.169,0,387,6473,clean_catch,0,False
0.5051,0.3053,0.4968,0.4785,2.8,42.2,0.182,0,390,6523,clean_catch,0,False
0.5016,0.3014,0.4958,0.4666,2.0,43.0,0.171,0,393,6573,clean_catch,0,False
0.4991,0.2857,0.4952,0.4601,1.3,43.7,0.178,0,396,6623,clean_catch,0,False
0.501,0.3142,0.4947,0.4649,2.4,42.6,0.157,0,399,6674,clean_catch,0,False
0.5,0.3119,0.4907,0.4691,3.4,41.6,0.167,0,402,6724,clean_catch,0,False
0.5015,0.3322,0.4904,0.471,4.6,40.4,0.15,0,405,6774,clean_catch,0,False
0.497,0.2956,0.4839,0.4621,4.5,40.5,0.18,0,408,6824,clean_catch,0,False
0.4993,0.2952,0.4907,0.4664,2.9,42.1,0.18,0,411,6874,clean_catch,0,False
0.4879,0.2925,0.4838,0.4653,1.4,43.6,0.177,0,414,6924,clean_catch,0,False
0.4887,0.2932,0.4886,0.4599,0.2,44.8,0.167,0,417,6975,clean_catch,0,False
0.4914,0.3038,0.484,0.4833,2.4,42.6,0.187,0,420,7025,clean_catch,0,False
0.4926,0.3037,0.4814,0.4732,3.8,41.2,0.181,0,423,7075,clean_catch,0,False
0.4936,0.3046,0.4789,0.4697,5.1,39.9,0.18,0,426,7125,clean_catch,0,False
0.4934,0.3055,0.4775,0.4697,5.6,39.4,0.18,0,429,7175,clean_catch,0,False
0.4909,0.2983,0.4748,0.4623,5.6,39.4,0.18,0,432,7226,clean_catch,0,False
0.489,0.296,0.4737,0.46,5.3,39.7,0.179,0,435,7276,clean_catch,0,False
0.4876,0.2969,0.4752,0.4674,4.2,40.8,0.183,0,438,7326,clean_catch,0,False
0.4847,0.2919,0.4743,0.4671,3.4,41.6,0.186,0,441,7376,clean_catch,0,False
0.4839,0.2938,0.4784,0.4714,1.8,43.2,0.183,0,444,7426,clean_catch,0,False
0.482,0.2914,0.4778,0.4709,1.4,43.6,0.184,0,447,7476,clean_catch,0,False
0.4789,0.2899,0.476,0.4736,0.9,44.1,0.187,0,450,7527,clean_catch,0,False
0.4762,0.2934,0.4719,0.4774,1.3,43.7,0.188,0,453,7577,clean_catch,0,False
0.4745,0.2913,0.4705,0.4714,1.3,43.7,0.184,0,456,7627,clean_catch,0,False
0.472,0.2911,0.4662,0.4704,1.9,43.1,0.185,0,459,7677,clean_catch,0,False
0.4659,0.2856,0.4631,0.4627,0.9,44.1,0.18,0,462,7727,clean_catch,0,False
0.4634,0.2827,0.4605,0.4635,0.9,44.1,0.184,0,465,7778,clean_catch,0,False
0.4611,0.2851,0.4579,0.4689,1.0,44.0,0.187,0,468,7828,clean_catch,0,False
0.4594,0.2855,0.4548,0.4682,1.5,43.5,0.187,0,471,7878,clean_catch,0,False
0.4579,0.2855,0.4504,0.461,2.4,42.6,0.183,0,474,7928,clean_catch,0,False
0.4592,0.286,0.451,0.4654,2.6,42.4,0.188,0,477,7978,clean_catch,0,False
0.4558,0.287,0.4483,0.4561,2.6,42.4,0.177,0,480,8028,clean_catch,0,False
0.4522,0.2878,0.4485,0.4648,1.2,43.8,0.181,0,483,8079,clean_catch,0,False
0.4521,0.292,0.4477,0.459,1.5,43.5,0.171,0,486,8129,clean_catch,0,False
0.4501,0.2924,0.4462,0.4625,1.3,43.7,0.174,0,489,8179,clean_catch,0,False
0.451,0.2936,0.4468,0.4677,1.4,43.6,0.178,0,492,8229,clean_catch,0,False
0.4509,0.292,0.4462,0.4661,1.6,43.4,0.179,0,495,8279,clean_catch,0,False
