shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.9412,0.2991,0.9294,0.5071,3.2,41.8,0.22,0,0,0,clean_catch,0,False
0.9409,0.301,0.9298,0.5118,3.0,42.0,0.222,0,3,50,clean_catch,0,False
0.9406,0.3013,0.9294,0.5102,3.1,41.9,0.22,0,6,100,clean_catch,0,False
0.9417,0.2995,0.9296,0.5068,3.3,41.7,0.219,0,9,150,clean_catch,0,False
0.9418,0.2998,0.9298,0.5082,3.3,41.7,0.22,0,12,200,clean_catch,0,False
0.9413,0.3,0.9302,0.5112,3.0,42.0,0.222,0,15,250,clean_catch,0,False
0.9414,0.3007,0.9291,0.515,3.3,41.7,0.227,0,18,301,clean_catch,0,False
0.9411,0.2994,0.9294,0.5093,3.2,41.8,0.222,0,21,351,clean_catch,0,False
0.9407,0.3015,0.9284,0.5134,3.3,41.7,0.224,0,24,401,clean_catch,0,False
0.9413,0.2997,0.9289,0.5113,3.4,41.6,0.224,0,27,451,clean_catch,0,False
0.9423,0.301,0.9288,0.5105,3.7,41.3,0.223,0,30,501,clean_catch,0,False
0.9429,0.2976,0.9288,0.5136,3.7,41.3,0.23,0,33,551,clean_catch,0,False
0.9427,0.298,0.9314,0.5114,3.0,42.0,0.225,0,36,602,clean_catch,0,False
0.9419,0.2981,0.93,0.5093,3.3,41.7,0.223,0,39,652,clean_catch,0,False
0.9426,0.2985,0.9288,0.5132,3.7,41.3,0.228,0,42,702,clean_catch,0,False
0.9414,0.2975,0.9287,0.5088,3.4,41.6,0.224,0,45,752,clean_catch,0,False
0.5429,0.4939,0.4686,0.5919,37.2,7.8,0.172,0,48,802,first_pull,0,False
0.5458,0.4923,0.4716,0.5858,38.4,6.6,0.168,0,51,853,first_pull,0,False
0.5451,0.4971,0.4702,0.5852,40.4,4.6,0.163,0,54,903,first_pull,0,False
0.5437,0.4989,0.4694,0.5867,40.2,4.8,0.162,0,57,953,first_pull,0,False
0.5445,0.5,0.4706,0.5872,40.3,4.7,0.161,0,60,1003,first_pull,0,False
0.5449,0.4995,0.47,0.5835,41.7,3.3,0.159,0,63,1053,first_pull,0,False
0.5453,0.499,0.4682,0.5837,42.3,2.7,0.162,0,66,1103,first_pull,0,False
0.5466,0.4988,0.4712,0.5867,40.6,4.4,0.163,0,69,1154,first_pull,0,False
0.546,0.4961,0.47,0.5846,40.7,4.3,0.164,0,72,1204,first_pull,0,False
0.5479,0.4988,0.47,0.5824,43.0,2.0,0.162,0,75,1254,first_pull,0,False
0.5466,0.4998,0.4694,0.5849,42.2,2.8,0.162,0,78,1304,first_pull,0,False
0.5477,0.4981,0.4714,0.585,41.3,3.7,0.163,0,81,1354,first_pull,0,False
0.547,0.4972,0.4732,0.5838,40.4,4.6,0.16,0,84,1405,first_pull,0,False
0.5464,0.496,0.4691,0.5806,42.4,2.6,0.162,0,87,1455,first_pull,0,False
0.5478,0.4946,0.4703,0.5826,41.4,3.6,0.166,0,90,1505,first_pull,0,False
0.5459,0.496,0.4712,0.5825,40.8,4.2,0.161,0,93,1555,first_pull,0,False
0.5462,0.4957,0.4712,0.5817,41.1,3.9,0.161,0,96,1605,first_pull,0,False
0.5444,0.4964,0.4692,0.5852,40.2,4.8,0.164,0,99,1655,first_pull,0,False
0.5419,0.4954,0.4694,0.5848,39.0,6.0,0.162,0,102,1706,first_pull,0,False
0.5415,0.4897,0.4669,0.5805,39.4,5.6,0.165,0,105,1756,first_pull,0,False
0.539,0.4843,0.4648,0.5783,38.3,6.7,0.168,0,108,1806,first_pull,0,False
0.5378,0.4809,0.4637,0.5732,38.8,6.2,0.166,0,111,1856,first_pull,0,False
0.535,0.4762,0.4614,0.5655,39.5,5.5,0.163,0,114,1906,first_pull,0,False
0.5348,0.4727,0.4624,0.5605,39.5,5.5,0.16,0,117,1957,first_pull,0,False
0.5347,0.4629,0.4608,0.5521,39.7,5.3,0.163,0,120,2007,first_pull,0,False
0.5361,0.4526,0.4622,0.5412,39.8,5.2,0.163,0,123,2057,first_pull,0,False
0.5365,0.4449,0.4661,0.5299,39.7,5.3,0.155,0,126,2107,first_pull,0,False
0.5378,0.436,0.4634,0.5166,42.7,2.3,0.155,0,129,2157,first_pull,0,False
0.5376,0.4219,0.4612,0.5076,41.7,3.3,0.162,0,132,2207,first_pull,0,False
0.5382,0.41,0.4621,0.4987,40.6,4.4,0.165,0,135,2258,first_pull,0,False
0.5371,0.4,0.464,0.496,37.3,7.7,0.169,0,138,2308,first_pull,0,False
0.5371,0.3865,0.4666,0.4947,33.1,11.9,0.179,0,141,2358,jerk_dip,0,False
0.5345,0.3705,0.4704,0.4907,28.1,16.9,0.184,0,144,2408,jerk_dip,0,False
0.5299,0.3582,0.4742,0.4961,22.0,23.0,0.194,0,147,2458,jerk_dip,0,False
0.5245,0.3428,0.4807,0.4984,15.7,29.3,0.199,0,150,2508,jerk_dip,0,False
0.5141,0.327,0.4844,0.4981,9.8,35.2,0.201,0,153,2559,clean_catch,0,False
0.5034,0.3078,0.4892,0.482,4.7,40.3,0.188,0,156,2609,clean_catch,0,True
0.4882,0.2879,0.4943,0.4701,1.9,43.1,0.188,0,159,2659,clean_catch,0,True
0.4726,0.2762,0.4967,0.4563,7.6,37.4,0.204,0,162,2709,clean_catch,0,True
0.4643,0.2743,0.4961,0.4475,10.4,34.6,0.205,0,165,2759,jerk_dip,0,True
0.4622,0.2871,0.4985,0.456,12.1,32.9,0.205,0,168,2810,jerk_dip,0,True
0.4695,0.3087,0.4967,0.4871,8.7,36.3,0.206,0,171,2860,clean_catch,0,True
0.4923,0.3447,0.4977,0.5201,1.8,43.2,0.181,0,174,2910,clean_catch,0,True
0.5018,0.372,0.5053,0.5449,1.2,43.8,0.176,0,177,2960,clean_catch,0,True
0.5034,0.443,0.5016,0.5605,0.9,44.1,0.119,1,180,3010,clean_catch,0,True
0.5002,0.4449,0.5036,0.5648,1.6,43.4,0.123,0,183,3060,clean_catch,0,True
0.5057,0.4446,0.5022,0.5959,1.3,43.7,0.155,0,186,3111,clean_catch,0,True
0.5084,0.4677,0.5048,0.6052,1.5,43.5,0.141,0,189,3161,clean_catch,0,True
0.507,0.4807,0.503,0.6328,1.5,43.5,0.156,0,192,3211,clean_catch,0,True
0.5042,0.4875,0.5022,0.6486,0.7,44.3,0.163,0,195,3261,clean_catch,0,True
0.5017,0.5015,0.4992,0.6753,0.8,44.2,0.176,0,198,3311,clean_catch,0,True
0.5017,0.4939,0.4989,0.6619,1.0,44.0,0.171,1,201,3362,clean_catch,0,False
0.5037,0.4854,0.4964,0.6612,2.4,42.6,0.183,0,204,3412,clean_catch,0,False
0.5038,0.4755,0.4974,0.6276,2.4,42.6,0.159,0,207,3462,clean_catch,0,False
0.5029,0.462,0.4968,0.6189,2.3,42.7,0.163,0,210,3512,clean_catch,0,False
0.505,0.4471,0.4989,0.5903,2.4,42.6,0.149,0,213,3562,clean_catch,0,False
0.5027,0.4397,0.4971,0.5776,2.4,42.6,0.144,0,216,3612,clean_catch,0,False
0.5002,0.4242,0.4996,0.5673,0.3,44.7,0.144,0,219,3663,clean_catch,0,False
0.4989,0.4244,0.4972,0.5602,0.8,44.2,0.138,0,222,3713,clean_catch,0,False
0.5041,0.4297,0.4984,0.554,2.6,42.4,0.13,0,225,3763,clean_catch,0,False
0.5023,0.4318,0.4963,0.5433,3.1,41.9,0.118,1,228,3813,clean_catch,0,False
0.5015,0.4288,0.4999,0.5381,0.8,44.2,0.111,1,231,3863,clean_catch,0,False
0.5013,0.4245,0.4994,0.522,1.2,43.8,0.099,0,234,3914,clean_catch,0,False
0.4922,0.4059,0.4929,0.5351,0.4,44.6,0.13,1,237,3964,clean_catch,0,False
0.4891,0.4082,0.4932,0.5328,1.9,43.1,0.129,0,240,4014,clean_catch,0,False
0.4872,0.401,0.4872,0.5357,0.2,44.8,0.135,1,243,4064,clean_catch,0,False
0.4947,0.3874,0.4906,0.5351,1.6,43.4,0.152,0,246,4114,clean_catch,0,False
0.4901,0.3869,0.4842,0.5448,2.2,42.8,0.164,0,249,4164,clean_catch,0,False
0.4924,0.3922,0.4793,0.5575,4.5,40.5,0.178,0,252,4215,clean_catch,0,False
0.4954,0.3807,0.4809,0.5389,5.2,39.8,0.173,0,255,4265,clean_catch,0,False
0.497,0.3767,0.4773,0.5436,6.7,38.3,0.187,0,258,4315,clean_catch,0,False
0.4954,0.377,0.4727,0.5466,7.6,37.4,0.192,0,261,4365,clean_catch,0,False
0.4968,0.3809,0.4767,0.5502,6.7,38.3,0.189,0,264,4415,clean_catch,0,False
0.4976,0.3816,0.4797,0.5495,6.1,38.9,0.186,0,267,4465,clean_catch,0,False
0.4975,0.387,0.48,0.5473,6.2,38.8,0.178,0,270,4516,clean_catch,0,False
0.4974,0.384,0.4826,0.5389,5.5,39.5,0.17,0,273,4566,clean_catch,0,False
0.4975,0.3772,0.4854,0.5377,4.3,40.7,0.173,0,276,4616,clean_catch,0,False
0.4984,0.3595,0.4892,0.5237,3.2,41.8,0.173,0,279,4666,clean_catch,0,False
0.4989,0.3376,0.4974,0.5034,0.5,44.5,0.167,0,282,4716,clean_catch,0,False
0.5077,0.3333,0.5033,0.5012,1.5,43.5,0.172,0,285,4767,clean_catch,0,False
0.5057,0.3278,0.51,0.4998,1.4,43.6,0.176,0,288,4817,clean_catch,0,False
0.5078,0.3266,0.5124,0.4914,1.6,43.4,0.169,0,291,4867,clean_catch,0,False
0.5073,0.3222,0.5143,0.4861,2.4,42.6,0.171,0,294,4917,clean_catch,0,False
0.5052,0.3168,0.515,0.4883,3.3,41.7,0.181,0,297,4967,clean_catch,0,False
0.5019,0.3181,0.5133,0.4906,3.8,41.2,0.184,0,300,5017,clean_catch,0,False
0.5078,0.3254,0.5137,0.4889,2.1,42.9,0.169,0,303,5068,clean_catch,0,False
0.5017,0.3247,0.5096,0.4866,2.8,42.2,0.17,0,306,5118,clean_catch,0,False
0.5036,0.3368,0.5093,0.4978,2.0,43.0,0.167,0,309,5168,clean_catch,0,False
0.5013,0.3475,0.5073,0.5057,2.2,42.8,0.164,0,312,5218,clean_catch,0,False
0.5019,0.3456,0.5087,0.502,2.5,42.5,0.163,0,315,5268,clean_catch,0,False
0.4974,0.3377,0.5063,0.5012,3.1,41.9,0.172,0,318,5319,clean_catch,0,False
0.4963,0.3252,0.5072,0.4896,3.8,41.2,0.175,0,321,5369,clean_catch,0,False
0.4999,0.3152,0.5091,0.4861,3.1,41.9,0.18,0,324,5419,clean_catch,0,False
0.4985,0.3104,0.5085,0.48,3.4,41.6,0.18,0,327,5469,clean_catch,0,False
0.4986,0.3045,0.5074,0.4743,3.0,42.0,0.179,0,330,5519,clean_catch,0,False
0.4975,0.2902,0.5059,0.4699,2.7,42.3,0.188,0,333,5569,clean_catch,0,False
0.5009,0.2912,0.5074,0.4687,2.1,42.9,0.184,0,336,5620,clean_catch,0,False
0.5006,0.3047,0.5054,0.4768,1.6,43.4,0.177,0,339,5670,clean_catch,0,False
0.5032,0.3191,0.5039,0.4865,0.3,44.7,0.168,0,342,5720,clean_catch,0,False
0.5067,0.3336,0.5048,0.487,0.7,44.3,0.155,0,345,5770,clean_catch,0,False
0.5096,0.3315,0.5051,0.4936,1.6,43.4,0.167,0,348,5820,clean_catch,0,False
