shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.9345,0.5599,0.9519,0.7768,4.6,40.4,0.234,0,0,0,clean_catch,0,False
0.9337,0.5597,0.9511,0.7804,4.5,40.5,0.238,0,3,50,clean_catch,0,False
0.9334,0.5589,0.9528,0.7777,5.1,39.9,0.238,0,6,100,clean_catch,0,False
0.9346,0.5615,0.9526,0.7795,4.7,40.3,0.236,0,9,150,clean_catch,0,False
0.9346,0.5628,0.952,0.7801,4.6,40.4,0.235,0,12,200,clean_catch,0,False
0.9347,0.5628,0.9513,0.78,4.3,40.7,0.234,0,15,250,clean_catch,0,False
0.9349,0.56,0.9497,0.7742,4.0,41.0,0.229,0,18,300,clean_catch,0,False
0.9333,0.5625,0.9505,0.7814,4.5,40.5,0.236,0,21,350,clean_catch,0,False
0.9346,0.5604,0.9517,0.7785,4.5,40.5,0.235,0,24,400,clean_catch,0,False
0.9346,0.5604,0.9476,0.7744,3.5,41.5,0.227,0,27,450,clean_catch,0,False
0.934,0.5576,0.9493,0.775,4.0,41.0,0.233,0,30,500,clean_catch,0,False
0.9327,0.559,0.952,0.771,5.2,39.8,0.231,0,33,550,clean_catch,0,False
0.9323,0.5595,0.9527,0.7744,5.4,39.6,0.235,0,36,600,clean_catch,0,False
0.9331,0.559,0.9511,0.7714,4.8,40.2,0.23,0,39,650,clean_catch,0,False
0.9315,0.5587,0.9555,0.773,6.4,38.6,0.238,0,42,700,clean_catch,0,False
0.9312,0.5593,0.9521,0.7711,5.6,39.4,0.233,0,45,751,clean_catch,0,False
0.9301,0.5582,0.952,0.7811,5.6,39.4,0.245,0,48,801,clean_catch,0,False
0.9281,0.5599,0.9502,0.7794,5.7,39.3,0.242,0,51,851,clean_catch,0,False
0.929,0.557,0.9508,0.7735,5.7,39.3,0.238,0,54,901,clean_catch,0,False
0.9295,0.5582,0.9515,0.7673,6.0,39.0,0.231,0,57,951,clean_catch,0,False
0.9278,0.5571,0.9488,0.7723,5.6,39.4,0.236,0,60,1001,clean_catch,0,False
0.9269,0.5566,0.9505,0.7689,6.3,38.7,0.236,0,63,1051,clean_catch,0,False
0.9276,0.5565,0.9497,0.7712,5.9,39.1,0.237,0,66,1101,clean_catch,0,False
0.9279,0.5571,0.9536,0.7702,6.9,38.1,0.239,0,69,1151,clean_catch,0,False
0.9275,0.5586,0.9549,0.778,7.1,37.9,0.247,0,72,1201,clean_catch,0,False
0.9263,0.5565,0.9522,0.7722,6.8,38.2,0.242,0,75,1251,clean_catch,0,False
0.9276,0.5571,0.9538,0.7758,6.8,38.2,0.245,0,78,1301,clean_catch,0,False
0.9291,0.5587,0.9544,0.7729,6.7,38.3,0.24,0,81,1351,clean_catch,0,False
0.9289,0.5587,0.9542,0.7783,6.6,38.4,0.245,0,84,1401,clean_catch,0,False
0.9287,0.5562,0.9554,0.7739,7.0,38.0,0.244,0,87,1452,clean_catch,0,False
0.9289,0.5581,0.9571,0.7753,7.4,37.6,0.245,0,90,1502,clean_catch,0,False
0.9289,0.5583,0.9543,0.7763,6.7,38.3,0.243,0,93,1552,clean_catch,0,False
0.9292,0.5565,0.9578,0.778,7.4,37.6,0.25,0,96,1602,clean_catch,0,False
0.929,0.5579,0.9567,0.7781,7.2,37.8,0.248,0,99,1652,clean_catch,0,False
0.9305,0.5583,0.9559,0.7794,6.6,38.4,0.246,0,102,1702,clean_catch,0,False
0.93,0.5578,0.9573,0.7758,7.1,37.9,0.245,0,105,1752,clean_catch,0,False
0.9292,0.5588,0.9549,0.7792,6.6,38.4,0.246,0,108,1802,clean_catch,0,False
0.9302,0.5581,0.954,0.7787,6.2,38.8,0.244,0,111,1852,clean_catch,0,False
