shoulder_mid_x,shoulder_mid_y,hip_mid_x,hip_mid_y,spine_angle,lean_deviation,postural_deviation,shoulder_asymmetry_flag,frame_index,timestamp_ms,lift_phase,low_visibility,in_lift_phase
0.5366,0.5926,0.4527,0.6558,53.0,8.0,0.147,0,0,0,first_pull,0,False
0.5384,0.5965,0.4482,0.6426,62.9,17.9,0.136,0,3,49,first_pull,0,False
0.5401,0.6009,0.4499,0.645,64.0,19.0,0.134,1,6,99,first_pull,0,False
0.5394,0.5984,0.4485,0.648,61.4,16.4,0.141,1,9,149,first_pull,0,False
0.5385,0.5995,0.4489,0.6449,63.1,18.1,0.135,0,12,199,first_pull,0,False
0.5387,0.5973,0.4493,0.6475,60.7,15.7,0.14,1,15,249,first_pull,0,False
0.5371,0.5952,0.4504,0.6572,54.4,9.4,0.149,1,18,299,first_pull,0,False
0.5383,0.5966,0.4498,0.6532,57.4,12.4,0.145,1,21,349,first_pull,0,False
0.5378,0.5975,0.4525,0.6543,56.4,11.4,0.142,1,24,399,first_pull,0,False
0.5371,0.5965,0.4529,0.661,52.6,7.6,0.149,0,27,449,first_pull,0,False
0.5378,0.5928,0.4523,0.6566,53.3,8.3,0.149,1,30,499,first_pull,0,False
0.5379,0.5954,0.453,0.6538,55.5,10.5,0.143,1,33,549,first_pull,0,False
0.5399,0.5949,0.4515,0.6486,58.8,13.8,0.142,1,36,599,first_pull,0,False
0.5382,0.5919,0.4546,0.6591,51.2,6.2,0.151,1,39,649,first_pull,0,False
0.5381,0.5931,0.453,0.652,55.3,10.3,0.144,1,42,699,first_pull,0,False
0.5388,0.5903,0.4526,0.651,54.8,9.8,0.147,1,45,749,first_pull,0,False
0.5392,0.5906,0.4517,0.6474,57.0,12.0,0.144,1,48,799,first_pull,0,False
0.5383,0.5921,0.4557,0.6562,52.2,7.2,0.147,1,51,849,first_pull,0,False
0.5393,0.5934,0.4555,0.6537,54.2,9.2,0.144,1,54,899,first_pull,0,False
0.54,0.5926,0.4537,0.6555,53.9,8.9,0.149,1,57,949,first_pull,0,False
0.5406,0.5942,0.4539,0.6532,55.8,10.8,0.146,1,60,999,first_pull,0,False
0.5398,0.5958,0.455,0.656,54.6,9.6,0.145,1,63,1049,first_pull,0,False
