frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,167.6,178.1,29.9,43.5,10.5,901.6,843.7,872.7,0,0,0
4,167.9,175.9,28.4,44.9,8.0,898.9,830.4,864.6,0,0,0
7,166.0,178.6,30.7,45.9,12.6,903.5,836.7,870.1,0,0,0
10,165.5,178.3,29.9,44.1,12.8,902.8,835.7,869.2,0,0,0
13,167.5,177.0,30.3,45.0,9.5,902.5,835.6,869.0,0,0,0
16,165.6,179.3,30.5,48.6,13.7,896.5,836.1,866.3,0,0,0
19,165.9,179.8,31.3,47.2,13.9,897.0,842.5,869.8,0,0,0
22,168.3,179.4,27.9,48.1,11.1,895.9,831.0,863.5,0,0,0
25,167.0,178.3,30.2,49.3,11.3,893.6,833.6,863.6,0,0,0
28,167.3,176.2,30.2,43.5,8.9,893.4,829.9,861.6,0,0,0
31,167.7,173.8,30.5,44.0,6.1,898.2,833.8,866.0,0,0,0
34,169.8,174.2,30.8,43.0,4.4,898.9,835.2,867.0,0,0,0
37,168.1,173.1,28.9,41.1,5.0,890.3,833.0,861.6,0,0,0
40,169.7,172.6,29.4,40.0,2.9,893.9,831.5,862.7,0,0,0
43,169.5,175.1,29.2,43.9,5.6,894.6,816.9,855.8,0,0,0
46,169.6,172.4,30.3,40.8,2.8,893.2,830.5,861.9,0,0,0
49,169.8,169.8,29.4,43.1,0.0,892.6,815.3,854.0,0,0,0
52,167.4,174.5,31.1,42.7,7.1,892.3,817.5,854.9,0,0,0
55,167.8,176.2,30.1,47.6,8.4,897.6,821.8,859.7,0,0,0
58,167.8,169.6,30.3,44.1,1.8,895.1,808.1,851.6,0,0,0
61,168.1,171.3,30.9,45.3,3.2,892.2,807.6,849.9,0,0,0
64,170.4,173.2,30.5,44.9,2.8,893.3,829.9,861.6,0,0,0
67,169.6,175.1,30.7,44.1,5.5,897.6,829.5,863.5,0,0,0
70,167.8,172.9,25.0,47.0,5.1,897.5,807.6,852.5,0,0,0
73,169.4,176.6,25.6,48.0,7.2,899.1,832.6,865.9,0,0,0
76,170.6,176.8,28.4,45.5,6.2,894.9,822.2,858.5,0,0,0
79,169.9,179.3,29.4,48.5,9.4,898.1,831.9,865.0,0,0,0
82,165.5,178.7,27.3,48.3,13.2,898.9,832.9,865.9,0,0,0
85,167.7,177.5,27.8,49.9,9.8,896.2,837.5,866.9,0,0,0
88,168.9,176.3,28.0,50.0,7.4,896.1,836.2,866.2,0,0,0
91,168.1,176.2,28.4,51.4,8.1,898.9,831.3,865.1,0,0,0
94,167.3,179.5,24.5,52.0,12.2,899.3,836.1,867.7,0,0,0
97,167.0,178.2,24.9,50.2,11.2,899.0,840.0,869.5,0,0,0
100,167.4,178.0,26.5,51.1,10.6,902.7,844.8,873.8,0,0,0
103,163.6,172.1,31.6,54.5,8.5,909.1,850.8,880.0,0,0,0
106,164.3,176.9,32.6,51.9,12.6,907.9,850.9,879.4,0,0,0
109,164.6,173.6,31.3,53.8,9.0,904.4,849.6,877.0,0,0,0
112,164.8,177.6,33.2,51.5,12.8,910.2,851.8,881.0,0,0,0
115,165.8,178.6,30.3,53.6,12.8,902.4,844.6,873.5,0,0,0
118,166.4,172.9,25.8,55.0,6.5,906.1,846.5,876.3,0,0,0
121,163.8,173.1,26.8,54.1,9.3,904.1,840.5,872.3,0,0,0
124,164.5,174.4,26.7,55.2,9.9,897.4,828.0,862.7,0,0,0
127,163.3,176.5,24.0,50.8,13.2,897.6,833.9,865.8,0,0,0
130,165.2,179.0,26.8,49.9,13.8,898.4,834.3,866.3,0,0,0
133,164.3,178.8,30.6,47.6,14.5,896.5,835.0,865.8,0,0,0
136,163.9,178.1,29.1,46.2,14.2,897.0,835.2,866.1,0,0,0
139,162.4,179.4,30.3,46.5,17.0,895.3,838.5,866.9,1,0,0
142,164.2,174.2,35.0,42.8,10.0,895.6,832.8,864.2,0,0,0
145,163.0,173.6,34.5,39.7,10.6,894.5,835.0,864.8,0,0,0
148,165.0,173.7,32.4,42.4,8.7,894.6,834.7,864.7,0,0,0
151,165.2,171.7,33.2,37.1,6.5,901.4,833.6,867.5,0,0,0
154,165.8,166.5,35.3,38.8,0.7,896.5,821.9,859.2,0,0,0
157,167.5,176.0,34.1,42.9,8.5,901.6,832.9,867.2,0,0,0
160,168.5,176.3,29.5,45.2,7.8,898.8,833.3,866.0,0,0,0
163,170.3,174.0,24.2,47.5,3.7,889.0,827.2,858.1,0,0,0
166,168.0,175.5,28.4,46.0,7.5,884.7,828.0,856.4,0,0,0
169,169.9,176.9,23.6,50.2,7.0,867.9,820.8,844.3,0,0,0
172,171.3,179.1,26.8,51.0,7.8,860.6,807.6,834.1,0,0,0
175,171.2,175.2,25.0,47.6,4.0,840.9,790.5,815.7,0,0,0
178,166.4,179.1,31.9,46.6,12.7,822.9,773.7,798.3,0,0,0
181,169.3,175.5,31.0,50.2,6.2,803.8,758.8,781.3,0,0,0
184,167.3,178.8,28.6,44.4,11.5,776.0,737.0,756.5,0,0,0
187,167.3,179.0,26.6,41.0,11.7,741.6,717.1,729.4,0,0,0
190,164.2,175.9,27.2,34.4,11.7,711.6,694.1,702.9,0,0,0
193,162.1,176.3,29.3,31.3,14.2,683.8,667.7,675.8,0,0,0
196,155.6,179.8,36.1,28.2,24.2,652.1,636.8,644.5,1,1,0
199,156.2,179.2,36.4,28.2,23.0,616.9,604.9,610.9,1,1,0
202,153.6,179.3,38.2,27.7,25.7,581.3,566.5,573.9,1,1,0
205,149.1,179.1,40.5,32.3,30.0,535.6,522.5,529.0,1,1,0
208,129.8,174.0,52.9,37.1,44.2,497.8,487.5,492.6,1,1,0
211,102.5,177.3,68.5,45.3,74.8,475.0,479.2,477.1,1,1,0
214,60.3,150.8,74.1,45.8,90.5,458.0,462.7,460.4,1,1,0
217,25.0,95.8,59.5,37.8,70.8,470.8,472.2,471.5,1,1,0
220,33.1,56.6,33.7,28.9,23.5,494.3,487.2,490.8,1,1,0
223,26.7,56.8,25.6,39.4,30.1,497.2,494.0,495.6,1,1,0
226,36.7,57.4,27.6,49.2,20.7,485.6,486.7,486.1,1,1,0
229,45.0,67.1,36.6,67.0,22.1,476.9,483.3,480.1,1,1,0
232,40.6,76.6,15.7,68.5,36.0,500.7,515.0,507.9,1,1,0
235,23.9,60.8,7.3,68.6,36.9,514.4,521.1,517.8,1,1,0
238,32.4,67.8,16.6,72.3,35.4,536.1,538.8,537.5,1,1,0
241,38.2,71.3,17.2,71.5,33.1,549.8,555.9,552.8,1,1,0
244,44.5,84.1,38.2,71.0,39.6,563.6,565.5,564.5,1,1,0
247,45.3,85.6,26.4,72.3,40.3,592.8,594.4,593.6,1,1,0
250,49.2,82.5,29.5,71.8,33.3,595.0,574.1,584.5,1,1,0
253,42.4,76.8,27.1,72.1,34.4,584.5,570.5,577.5,1,1,0
256,43.7,80.1,32.2,70.5,36.4,562.7,562.9,562.8,1,1,0
259,31.8,74.4,14.1,68.6,42.6,559.4,563.9,561.6,1,1,0
262,17.1,62.2,1.1,70.1,45.1,538.0,537.2,537.6,1,1,0
265,20.6,59.8,8.7,68.1,39.2,520.1,529.1,524.6,1,1,0
268,27.6,59.0,13.8,64.1,31.4,508.5,506.8,507.6,1,1,0
271,25.8,56.7,11.4,68.2,30.9,496.2,492.9,494.5,1,1,0
274,26.9,63.2,11.0,68.7,36.3,478.2,475.2,476.7,1,1,0
277,36.8,66.7,17.4,69.2,29.9,466.3,468.4,467.4,1,1,0
280,38.3,65.7,18.9,69.8,27.4,431.8,452.7,442.2,1,1,0
283,50.8,88.4,26.6,69.7,37.6,419.2,441.9,430.5,1,1,0
286,81.6,93.0,56.1,74.0,11.4,392.1,430.1,411.1,0,1,0
289,65.9,98.6,43.4,77.1,32.7,361.2,375.9,368.5,1,1,0
292,60.2,68.2,44.9,60.4,8.0,346.1,354.0,350.1,0,1,0
295,48.7,58.4,41.0,53.0,9.7,330.5,333.2,331.9,0,1,0
298,59.7,62.5,61.0,63.3,2.8,318.1,319.7,318.9,0,1,0
301,68.5,78.3,80.3,81.2,9.8,308.7,300.1,304.4,0,1,0
