frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,156.3,176.8,70.6,97.0,20.5,925.3,866.0,895.6,1,1,0
4,160.6,177.1,73.0,98.2,16.5,937.3,862.2,899.8,1,0,0
7,160.3,167.8,75.1,102.8,7.5,935.4,862.9,899.1,0,0,0
10,157.6,178.5,67.5,90.6,20.9,939.6,870.9,905.2,1,1,0
13,158.5,176.1,68.9,89.3,17.6,937.1,863.8,900.5,1,1,0
16,161.1,170.8,54.3,74.3,9.7,937.3,857.5,897.4,0,0,0
19,163.5,178.8,48.5,71.2,15.3,942.1,862.4,902.2,1,0,0
22,168.3,179.0,35.9,62.1,10.7,934.2,853.9,894.0,0,0,0
25,171.9,176.7,35.1,59.2,4.8,945.4,845.4,895.4,0,0,0
28,167.0,172.7,25.3,54.7,5.7,938.9,856.5,897.7,0,0,0
31,172.3,174.1,28.1,49.0,1.8,936.4,854.0,895.2,0,0,1
34,172.2,176.0,18.2,43.9,3.8,926.8,853.0,889.9,0,0,1
37,170.7,175.4,11.4,35.1,4.7,929.3,864.6,897.0,0,0,1
40,170.2,173.3,21.8,36.9,3.1,930.7,860.2,895.5,0,0,1
43,170.0,175.9,13.5,32.1,5.9,930.2,855.3,892.8,0,0,1
46,170.1,177.6,14.9,33.9,7.5,931.1,858.9,895.0,0,0,1
49,172.8,161.3,9.0,35.2,11.5,931.1,861.3,896.2,0,0,1
52,166.9,163.0,8.3,26.4,3.9,940.1,867.4,903.8,0,0,1
55,168.8,173.0,9.1,32.9,4.2,940.5,864.5,902.5,0,0,1
58,172.2,152.5,10.9,18.2,19.7,944.7,873.7,909.2,1,1,1
61,175.6,173.8,19.0,39.3,1.8,928.4,863.8,896.1,0,0,0
64,174.1,167.5,17.4,36.2,6.6,909.5,867.3,888.4,0,0,0
67,172.9,179.8,22.5,40.4,6.9,926.8,865.0,895.9,0,0,0
70,172.4,169.5,8.0,34.6,2.9,918.0,857.6,887.8,0,0,0
73,172.8,177.9,9.3,30.6,5.1,928.2,864.7,896.5,0,0,0
76,172.6,175.6,8.7,31.4,3.0,927.8,875.1,901.5,0,0,1
79,166.0,177.9,3.7,20.7,11.9,939.8,883.9,911.8,0,0,1
82,168.3,164.2,5.4,31.0,4.1,932.1,861.4,896.8,0,0,1
85,167.6,173.0,4.2,26.8,5.4,935.8,863.4,899.6,0,0,1
88,173.5,178.4,1.8,30.1,4.9,926.3,869.9,898.1,0,0,1
91,165.3,166.7,1.3,27.1,1.4,931.0,868.5,899.8,0,0,1
94,164.3,178.2,3.1,26.5,13.9,942.8,876.7,909.8,0,0,1
97,165.5,178.6,3.5,27.5,13.1,937.9,866.4,902.1,0,0,1
100,169.8,169.2,3.7,26.5,0.6,940.9,864.2,902.5,0,0,1
103,172.0,167.4,3.4,30.2,4.6,937.5,859.0,898.2,0,0,1
106,171.1,178.1,4.4,26.4,7.0,934.3,854.5,894.4,0,0,1
109,164.2,172.4,4.6,28.7,8.2,945.0,851.6,898.3,0,0,1
112,164.7,173.3,2.8,33.2,8.6,944.3,854.8,899.5,0,0,1
115,162.6,179.9,7.2,28.9,17.3,948.8,866.3,907.5,1,0,1
118,167.7,179.9,1.2,28.6,12.2,941.4,856.2,898.8,0,0,1
121,169.5,172.8,0.6,24.0,3.3,929.7,861.0,895.4,0,0,1
124,164.0,177.8,5.0,20.5,13.8,937.5,870.7,904.1,0,0,1
127,169.4,175.1,3.9,23.6,5.7,936.0,854.4,895.2,0,0,1
130,165.1,171.6,0.2,22.2,6.5,938.2,864.2,901.2,0,0,1
133,168.7,175.3,1.0,23.7,6.6,935.8,854.4,895.1,0,0,1
136,168.7,169.4,0.8,20.9,0.7,923.6,845.4,884.5,0,0,1
139,163.7,173.4,4.6,20.2,9.7,942.2,863.5,902.9,0,0,1
142,165.6,173.5,4.4,18.7,7.9,940.3,864.0,902.1,0,0,1
145,174.3,168.7,2.4,22.7,5.6,930.5,855.8,893.1,0,0,1
148,172.5,170.7,0.3,27.4,1.8,930.6,853.8,892.2,0,0,1
151,172.5,175.2,0.6,24.2,2.7,930.0,869.3,899.6,0,0,0
154,169.9,165.1,4.0,26.3,4.8,930.5,844.8,887.6,0,0,1
157,174.3,167.9,1.5,27.3,6.4,931.3,863.8,897.5,0,0,0
160,168.8,175.6,3.0,24.2,6.8,937.1,862.0,899.5,0,0,1
163,169.1,165.9,3.4,25.1,3.2,936.3,840.8,888.5,0,0,1
166,174.6,172.7,0.5,25.1,1.9,930.5,851.3,890.9,0,0,1
169,172.1,171.0,0.7,27.1,1.1,939.3,873.4,906.3,0,0,0
172,173.0,178.2,0.8,26.7,5.2,925.1,848.6,886.9,0,0,1
175,170.7,167.2,0.5,24.2,3.5,940.3,857.1,898.7,0,0,1
178,172.6,177.6,0.6,24.5,5.0,923.7,848.3,886.0,0,0,1
181,165.6,179.7,4.7,21.6,14.1,942.5,868.6,905.5,0,0,1
184,170.2,179.7,3.1,22.4,9.5,941.3,858.7,900.0,0,0,1
187,169.8,179.1,2.3,23.8,9.3,922.2,845.6,883.9,0,0,1
190,169.1,170.7,2.2,25.9,1.6,941.6,850.5,896.0,0,0,1
193,170.5,177.5,0.4,26.6,7.0,933.3,858.8,896.0,0,0,1
196,167.2,174.8,4.5,23.8,7.6,945.0,848.4,896.7,0,0,1
199,168.1,166.8,2.9,24.6,1.3,937.8,846.7,892.2,0,0,1
202,170.1,177.6,3.5,25.7,7.5,943.3,857.0,900.1,0,0,1
205,171.4,179.4,2.5,26.0,8.0,935.7,846.8,891.2,0,0,1
208,170.3,169.7,3.1,27.9,0.6,940.5,846.0,893.2,0,0,1
211,171.0,175.0,3.4,26.7,4.0,944.3,837.9,891.1,0,0,1
214,170.1,171.4,3.5,25.9,1.3,936.9,841.9,889.4,0,0,1
217,176.7,174.3,0.8,24.2,2.4,928.0,851.8,889.9,0,0,1
220,174.4,167.3,2.9,23.3,7.1,935.4,842.8,889.1,0,0,1
223,173.3,173.8,3.9,25.3,0.5,924.7,845.2,885.0,0,0,1
226,172.3,171.1,4.5,25.6,1.2,932.3,828.0,880.1,0,0,1
229,167.4,176.2,7.9,23.7,8.8,943.0,845.4,894.2,0,0,1
