frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,138.8,162.2,22.1,15.5,23.4,969.5,889.0,929.2,1,1,1
4,116.3,120.2,22.8,9.6,3.9,931.5,867.5,899.5,0,1,1
7,135.8,148.9,24.4,1.1,13.1,959.4,999.7,979.5,0,1,1
10,142.7,129.0,28.7,11.5,13.7,918.1,956.2,937.2,0,1,1
13,144.0,176.2,26.3,28.6,32.2,928.8,906.9,917.8,1,1,1
37,153.1,150.6,27.8,12.0,2.5,976.5,913.3,944.9,0,1,1
40,130.6,138.2,25.4,12.1,7.6,931.9,876.3,904.1,0,1,1
43,141.3,130.3,23.8,14.2,11.0,931.4,843.0,887.2,0,1,1
46,149.1,132.3,23.3,12.0,16.8,938.9,874.3,906.6,1,1,1
49,109.0,130.0,24.3,6.4,21.0,948.8,893.9,921.3,1,1,1
52,136.3,155.1,26.7,14.0,18.8,969.4,920.7,945.0,1,1,1
55,155.6,169.6,7.2,18.5,14.0,1448.7,1461.8,1455.2,0,1,0
58,156.7,172.7,6.1,11.9,16.0,1402.3,1406.6,1404.4,1,1,0
61,151.9,165.6,4.8,9.8,13.7,1407.6,1400.0,1403.8,0,1,0
64,154.8,146.2,3.5,9.5,8.6,1381.9,1170.8,1276.3,0,1,1
67,156.0,149.0,4.1,13.1,7.0,1378.9,1256.1,1317.5,0,1,1
70,156.2,165.0,4.0,4.4,8.8,1373.4,1293.2,1333.3,0,1,1
73,153.4,145.7,2.1,8.2,7.7,1351.4,1248.6,1300.0,0,1,1
76,151.7,144.4,1.1,10.4,7.3,1353.8,1267.7,1310.8,0,1,1
79,155.1,146.3,0.9,6.4,8.8,1353.1,1253.2,1303.2,0,1,1
82,151.3,156.8,1.4,12.1,5.5,1361.5,1218.1,1289.8,0,1,1
85,158.1,175.2,1.3,4.4,17.1,1358.1,1260.2,1309.2,1,1,1
88,152.4,150.9,0.4,12.4,1.5,1411.3,1334.0,1372.7,0,1,1
91,153.0,150.8,0.9,0.6,2.2,1390.7,1247.2,1319.0,0,1,1
94,160.1,143.1,2.4,9.4,17.0,1303.3,1098.3,1200.8,1,1,1
97,157.9,149.0,0.7,9.5,8.9,1347.3,1207.6,1277.4,0,1,1
100,157.5,145.4,1.5,9.5,12.1,1329.6,1173.4,1251.5,0,1,1
103,160.1,163.9,2.9,8.1,3.8,1276.3,1147.9,1212.1,0,0,1
106,164.3,178.5,6.8,10.9,14.2,1275.7,1260.9,1268.3,0,0,0
109,163.4,175.6,10.1,13.5,12.2,1272.0,1292.8,1282.4,0,0,0
112,167.1,166.5,18.8,19.1,0.6,1263.8,1256.8,1260.3,0,0,0
115,161.9,175.0,15.3,18.1,13.1,1252.0,1279.7,1265.8,0,0,0
118,163.8,175.4,18.2,19.3,11.6,1224.4,1281.3,1252.8,0,0,0
121,166.8,172.2,18.9,18.7,5.4,1206.5,1275.7,1241.1,0,0,0
124,168.0,173.1,19.2,17.9,5.1,1180.5,1281.4,1231.0,0,0,0
127,168.3,173.6,19.2,19.6,5.3,1145.7,1273.2,1209.5,0,0,0
130,160.2,173.7,16.1,18.6,13.5,1106.8,1283.6,1195.2,0,0,0
133,157.8,174.9,14.8,15.9,17.1,1113.5,1278.7,1196.1,1,1,0
136,155.2,176.4,13.7,12.8,21.2,1075.3,1301.7,1188.5,1,1,0
139,154.6,173.1,15.7,9.5,18.5,1006.8,1220.5,1113.7,1,1,0
142,166.7,159.3,16.9,15.1,7.4,1007.8,1181.5,1094.7,0,1,0
145,172.6,161.0,20.8,14.1,11.6,991.4,1133.5,1062.5,0,0,1
148,169.9,147.4,18.0,15.6,22.5,967.4,1084.3,1025.8,1,1,1
151,139.0,139.5,20.7,14.7,0.5,961.9,1096.6,1029.2,0,1,1
154,126.5,122.7,20.1,16.0,3.8,975.7,1044.3,1010.0,0,1,1
157,105.9,119.6,20.3,18.5,13.7,884.8,991.0,937.9,0,1,1
160,75.5,110.6,31.8,21.8,35.1,791.8,968.1,880.0,1,1,1
163,33.6,131.0,38.0,21.6,97.4,605.6,964.2,784.9,1,1,1
166,132.3,147.3,0.5,20.4,15.0,925.9,1052.6,989.2,0,1,1
169,138.4,172.0,7.6,15.9,33.6,995.7,1069.5,1032.6,1,1,1
172,121.3,166.8,6.5,18.8,45.5,961.8,1033.6,997.7,1,1,1
175,127.0,149.7,2.1,16.3,22.7,1055.3,1076.1,1065.7,1,1,1
178,120.8,141.7,3.3,12.1,20.9,1054.6,1081.2,1067.9,1,1,1
181,130.6,132.0,9.3,8.3,1.4,1097.0,1110.9,1104.0,0,1,1
184,126.8,123.5,5.3,3.8,3.3,994.6,1087.4,1041.0,0,1,1
187,141.2,158.7,26.1,8.4,17.5,990.8,963.7,977.2,1,1,1
190,139.4,150.4,24.5,9.8,11.0,965.3,910.4,937.8,0,1,1
193,118.7,143.2,28.4,9.3,24.5,951.2,918.8,935.0,1,1,1
196,139.8,169.4,25.1,12.8,29.6,991.4,974.3,982.8,1,1,1
199,123.8,154.8,24.4,10.8,31.0,962.1,953.2,957.7,1,1,1
202,110.3,113.9,26.2,10.4,3.6,935.8,883.3,909.5,0,1,1
205,112.9,149.3,26.9,13.3,36.4,941.6,904.8,923.2,1,1,1
208,131.9,156.0,25.5,6.3,24.1,960.8,977.9,969.3,1,1,1
211,151.8,169.4,24.5,11.8,17.6,982.1,966.5,974.3,1,1,1
214,139.3,169.6,25.2,13.7,30.3,952.4,958.6,955.5,1,1,1
217,133.4,164.7,25.7,12.3,31.3,967.1,965.9,966.5,1,1,1
220,141.2,166.6,25.5,13.0,25.4,982.3,942.5,962.4,1,1,1
223,149.6,161.2,23.1,8.3,11.6,988.1,962.3,975.2,0,1,1
226,128.5,143.5,27.0,6.1,15.0,961.9,915.1,938.5,0,1,1
229,131.3,163.8,25.7,13.4,32.5,967.5,948.0,957.8,1,1,1
232,131.6,161.7,26.3,11.3,30.1,969.5,949.6,959.5,1,1,1
235,123.5,153.6,26.5,12.8,30.1,957.8,920.7,939.2,1,1,1
238,121.7,133.5,25.6,12.2,11.8,923.9,860.5,892.2,0,1,1
241,117.7,139.7,27.6,16.9,22.0,942.1,854.8,898.5,1,1,1
244,119.1,142.2,26.5,13.8,23.1,947.6,884.8,916.2,1,1,1
247,110.9,154.6,27.8,12.2,43.7,931.4,920.8,926.1,1,1,1
250,114.5,145.4,24.6,13.1,30.9,927.6,896.8,912.2,1,1,1
253,127.6,150.4,24.0,9.5,22.8,963.0,912.1,937.5,1,1,1
256,115.5,136.9,24.6,7.8,21.4,934.3,899.6,917.0,1,1,1
259,124.4,149.3,27.6,9.8,24.9,940.1,900.5,920.3,1,1,1
262,147.8,164.2,23.9,13.7,16.4,986.9,924.2,955.5,1,1,1
