frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,136.9,97.1,15.3,20.5,39.8,752.1,685.4,718.8,1,1,0
4,172.9,150.7,15.7,30.5,22.2,923.6,823.3,873.5,1,1,1
7,163.7,127.7,4.7,6.8,36.0,923.8,808.3,866.0,1,1,1
10,163.3,152.9,7.6,19.9,10.4,925.1,822.7,873.9,0,1,1
13,163.6,125.5,4.0,11.9,38.1,915.5,807.6,861.5,1,1,1
16,164.5,157.3,4.7,35.5,7.2,923.8,839.1,881.5,0,1,1
19,162.6,163.5,6.9,35.3,0.9,930.1,827.5,878.8,0,0,1
22,167.0,161.4,9.9,35.9,5.6,933.8,842.1,888.0,0,0,1
25,111.5,124.4,16.2,17.7,12.9,716.5,684.8,700.6,0,1,0
28,112.0,109.5,17.0,30.5,2.5,715.3,683.4,699.3,0,1,0
31,123.5,134.2,9.0,28.8,10.7,727.3,698.0,712.6,0,1,1
34,132.0,128.9,17.2,26.6,3.1,737.4,680.3,708.8,0,1,0
37,123.2,145.0,12.8,23.9,21.8,721.5,702.4,712.0,1,1,1
40,177.1,159.6,10.6,37.8,17.5,926.8,842.0,884.4,1,1,1
43,133.3,126.1,18.1,6.0,7.2,737.3,697.2,717.2,0,1,0
46,177.2,161.8,10.6,39.0,15.4,919.6,843.9,881.8,1,0,1
49,177.2,169.4,7.7,39.0,7.8,914.1,851.5,882.8,0,0,0
52,176.4,154.3,9.2,34.5,22.1,914.7,833.8,874.2,1,1,1
55,173.3,162.4,10.0,39.6,10.9,918.9,830.6,874.8,0,0,1
58,172.0,146.9,7.5,38.9,25.1,915.5,816.5,866.0,1,1,1
61,169.0,152.3,0.8,30.9,16.7,912.3,815.9,864.1,1,1,1
64,167.3,161.1,1.1,29.5,6.2,914.8,830.3,872.5,0,0,1
67,165.7,148.6,1.9,30.9,17.1,912.3,823.8,868.0,1,1,1
70,169.1,146.0,1.4,28.8,23.1,909.3,808.8,859.0,1,1,1
73,165.0,148.8,2.0,30.2,16.2,913.0,828.6,870.8,1,1,1
76,164.4,146.4,2.8,30.8,18.0,912.3,808.3,860.3,1,1,1
79,165.8,153.0,0.3,33.0,12.8,912.4,823.6,868.0,0,1,1
82,166.9,151.5,0.3,31.9,15.4,916.3,828.0,872.1,1,1,1
85,168.5,152.5,0.1,31.9,16.0,912.8,818.9,865.8,1,1,1
88,170.7,159.2,0.9,31.6,11.5,911.8,840.1,876.0,0,1,1
91,171.2,159.1,4.9,31.1,12.1,914.6,843.3,879.0,0,1,1
94,168.8,147.1,1.7,29.8,21.7,917.2,809.7,863.5,1,1,1
97,166.8,143.1,3.2,27.5,23.7,912.0,797.9,855.0,1,1,1
100,167.5,157.0,3.2,29.7,10.5,919.6,843.2,881.4,0,1,1
103,165.8,153.5,5.6,27.8,12.3,920.1,817.9,869.0,0,1,1
106,168.2,149.6,3.0,26.8,18.6,911.0,789.6,850.3,1,1,1
109,165.3,152.7,0.9,28.6,12.6,918.8,834.5,876.6,0,1,1
112,165.6,156.2,0.7,29.4,9.4,916.9,844.1,880.5,0,1,1
115,167.6,154.2,0.8,26.9,13.4,914.7,835.0,874.9,0,1,1
118,168.6,148.5,3.5,28.3,20.1,916.7,816.4,866.5,1,1,1
121,167.1,149.9,0.2,28.4,17.2,918.2,820.6,869.4,1,1,1
124,167.2,150.9,0.4,31.3,16.3,916.7,818.9,867.8,1,1,1
127,164.0,158.6,0.9,31.3,5.4,918.9,825.5,872.2,0,1,1
130,95.0,33.7,23.5,40.7,61.3,692.5,653.8,673.1,1,1,0
133,166.2,156.7,1.4,32.0,9.5,918.9,828.5,873.7,0,1,1
136,164.5,159.8,2.5,33.9,4.7,914.1,820.4,867.2,0,1,1
139,165.7,149.3,0.8,26.4,16.4,913.6,807.3,860.5,1,1,1
142,163.5,145.3,0.1,29.3,18.2,920.5,787.0,853.8,1,1,1
145,166.3,155.2,0.7,30.1,11.1,913.5,807.4,860.5,0,1,1
148,165.0,157.4,0.5,31.8,7.6,910.4,811.7,861.0,0,1,1
151,164.7,149.6,0.7,32.4,15.1,908.7,815.6,862.2,1,1,1
154,163.6,158.9,0.6,33.4,4.7,912.1,817.1,864.6,0,1,1
