frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,127.9,156.0,4.3,21.2,28.1,1345.8,1460.1,1402.9,1,1,1
4,151.1,158.4,17.2,25.4,7.3,1394.6,1474.0,1434.3,0,1,1
7,154.3,169.3,18.3,21.6,15.0,1422.1,1534.3,1478.2,0,1,1
10,140.0,171.9,8.4,21.4,31.9,1367.7,1560.5,1464.1,1,1,1
13,150.2,167.2,15.7,22.7,17.0,1423.9,1526.9,1475.4,1,1,1
16,155.6,170.4,19.4,23.7,14.8,1458.4,1546.4,1502.4,0,1,1
19,144.1,171.6,6.9,21.4,27.5,1388.1,1484.2,1436.2,1,1,1
22,161.3,171.3,7.3,15.9,10.0,1452.8,1516.0,1484.4,0,0,1
25,155.4,175.5,0.2,16.4,20.1,1446.2,1486.7,1466.5,1,1,1
28,141.5,165.9,10.9,10.0,24.4,1418.9,1466.8,1442.8,1,1,1
31,154.5,166.9,8.1,23.2,12.4,1421.8,1543.8,1482.8,0,1,1
34,150.0,164.5,2.2,14.7,14.5,1436.2,1477.1,1456.7,0,1,1
37,151.2,170.9,0.8,10.5,19.7,1433.2,1479.2,1456.2,1,1,1
40,149.6,170.2,3.9,15.7,20.6,1412.2,1491.0,1451.6,1,1,1
43,146.9,165.6,1.5,13.2,18.7,1398.7,1476.2,1437.5,1,1,1
46,160.7,163.2,15.1,17.9,2.5,1463.5,1496.6,1480.0,0,0,1
49,167.9,161.0,24.3,25.6,6.9,1433.2,1470.1,1451.7,0,0,1
52,166.8,167.7,17.0,20.3,0.9,1467.0,1508.9,1488.0,0,0,1
55,155.1,164.8,7.0,18.4,9.7,1408.0,1519.7,1463.8,0,1,1
58,153.6,171.1,5.1,11.0,17.5,1449.1,1531.2,1490.2,1,1,1
61,149.0,172.8,4.0,14.1,23.8,1427.9,1543.7,1485.8,1,1,1
64,165.3,172.8,11.5,14.2,7.5,1467.5,1538.0,1502.8,0,0,1
67,158.0,165.7,28.4,30.3,7.7,1406.9,1496.0,1451.5,0,1,1
70,143.9,163.5,13.0,25.8,19.6,1361.6,1499.3,1430.4,1,1,1
73,147.2,166.9,8.4,23.7,19.7,1355.9,1556.1,1456.0,1,1,1
76,159.1,161.7,16.5,30.4,2.6,1386.3,1466.0,1426.2,0,1,1
79,166.1,160.4,13.3,23.4,5.7,1380.5,1490.0,1435.2,0,0,1
82,150.0,159.4,9.1,20.8,9.4,1367.0,1455.2,1411.1,0,1,1
85,151.6,159.3,5.4,20.4,7.7,1367.0,1447.7,1407.3,0,1,1
