frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,126.6,122.7,90.3,96.1,3.9,801.8,795.8,798.8,0,1,0
4,133.3,107.2,75.3,100.6,26.1,802.4,797.8,800.1,1,1,0
7,131.9,115.8,82.5,99.6,16.1,803.5,794.4,799.0,1,1,0
10,126.2,130.9,85.0,104.3,4.7,802.8,786.5,794.6,0,1,0
13,136.5,150.5,67.4,93.1,14.0,805.6,792.3,799.0,0,1,0
16,125.2,132.8,67.5,73.5,7.6,763.3,758.5,760.9,0,1,0
19,129.3,37.9,58.7,85.4,91.4,725.1,611.6,668.4,1,1,0
22,115.6,23.6,36.6,66.0,92.0,683.9,609.4,646.6,1,1,0
25,101.7,52.6,40.4,108.5,49.1,671.9,614.7,643.3,1,1,1
28,96.2,7.6,35.7,85.1,88.6,655.3,615.1,635.2,1,1,0
31,109.8,63.7,58.1,82.0,46.1,698.9,601.4,650.1,1,1,1
34,124.3,63.6,27.3,84.2,60.7,659.7,602.1,630.9,1,1,0
37,124.4,121.7,19.0,43.4,2.7,667.5,604.7,636.1,0,1,0
40,126.6,143.4,72.7,66.6,16.8,787.6,801.5,794.5,1,1,0
43,125.7,140.7,77.1,72.4,15.0,790.9,795.4,793.1,0,1,0
46,127.2,149.9,82.4,95.0,22.7,798.9,768.8,783.8,1,1,0
49,120.7,126.4,84.4,87.3,5.7,795.3,773.6,784.5,0,1,0
52,122.2,112.1,81.9,91.6,10.1,797.8,806.6,802.2,0,1,0
55,115.0,123.5,88.2,82.3,8.5,797.5,804.0,800.8,0,1,0
58,119.1,131.5,86.9,80.3,12.4,795.0,807.1,801.0,0,1,0
61,116.0,124.3,88.8,76.3,8.3,797.5,809.3,803.4,0,1,0
64,121.5,118.9,83.6,77.4,2.6,797.2,806.7,802.0,0,1,0
67,118.8,119.1,85.5,73.5,0.3,799.6,810.1,804.9,0,1,0
70,119.9,118.2,82.8,82.2,1.7,798.0,810.3,804.1,0,1,0
73,122.6,117.5,82.2,80.3,5.1,798.3,809.5,803.9,0,1,0
76,126.3,118.5,82.9,78.6,7.8,798.3,808.9,803.6,0,1,0
79,128.7,118.2,80.8,81.6,10.5,798.1,810.6,804.4,0,1,0
82,125.7,129.3,84.1,74.4,3.6,798.3,808.7,803.5,0,1,0
85,126.4,120.5,81.2,75.5,5.9,796.0,807.5,801.8,0,1,0
88,123.4,117.8,84.0,76.5,5.6,797.2,807.5,802.4,0,1,0
91,122.3,117.4,84.2,75.5,4.9,800.8,810.0,805.4,0,1,0
94,118.9,120.9,84.6,72.4,2.0,800.6,809.6,805.1,0,1,0
97,121.1,118.1,85.4,74.5,3.0,800.5,811.5,806.0,0,1,0
100,114.1,117.1,89.7,74.7,3.0,798.8,811.4,805.1,0,1,0
103,115.3,116.6,89.0,74.6,1.3,799.7,810.2,805.0,0,1,0
106,113.4,116.5,90.4,77.3,3.1,800.0,808.6,804.3,0,1,0
109,118.1,117.5,88.4,75.7,0.6,801.4,807.1,804.2,0,1,0
112,118.8,119.1,88.2,75.0,0.3,801.9,807.0,804.5,0,1,0
115,128.0,118.5,84.1,75.1,9.5,800.5,805.9,803.2,0,1,0
118,126.5,119.2,83.4,75.8,7.3,802.2,807.4,804.8,0,1,0
121,126.8,124.6,81.8,68.4,2.2,801.0,807.7,804.4,0,1,0
124,125.2,120.9,80.2,75.2,4.3,799.4,809.9,804.6,0,1,0
127,120.6,125.9,83.6,72.1,5.3,800.5,808.1,804.3,0,1,0
130,119.5,121.6,79.6,69.3,2.1,800.6,804.1,802.4,0,1,0
133,117.0,137.8,83.4,65.7,20.8,796.9,805.1,801.0,1,1,0
136,117.4,123.5,82.1,69.2,6.1,797.6,808.2,802.9,0,1,0
139,119.4,124.5,83.4,68.6,5.1,798.2,803.6,800.9,0,1,0
142,122.5,121.9,80.5,69.4,0.6,798.3,805.3,801.8,0,1,0
145,130.3,136.4,79.4,60.2,6.1,795.8,805.9,800.8,0,1,0
148,137.3,140.6,80.7,59.0,3.3,797.4,807.9,802.6,0,1,0
151,143.6,160.7,77.9,53.1,17.1,799.3,806.4,802.8,1,1,0
154,154.9,163.9,76.4,49.5,9.0,797.4,806.0,801.7,0,1,0
157,166.2,166.9,72.7,49.7,0.7,798.0,808.5,803.2,0,0,0
160,169.4,179.0,78.4,34.3,9.6,800.8,807.4,804.1,0,0,0
163,173.9,178.4,78.1,29.9,4.5,797.9,808.0,803.0,0,0,0
166,178.9,176.1,83.4,32.6,2.8,797.5,806.1,801.8,0,0,0
169,179.2,178.5,92.2,29.9,0.7,794.7,805.4,800.0,0,0,0
172,177.4,176.0,93.5,44.9,1.4,796.8,810.4,803.6,0,0,0
175,176.7,171.2,100.9,59.3,5.5,796.2,811.4,803.8,0,0,0
178,176.4,174.8,97.2,47.1,1.6,796.3,811.0,803.6,0,0,0
181,173.2,174.2,99.6,60.1,1.0,797.1,812.2,804.7,0,0,0
184,179.3,152.9,67.4,58.3,26.4,796.7,766.9,781.8,1,1,0
187,175.8,168.8,76.0,48.0,7.0,800.6,810.5,805.5,0,0,0
190,178.0,163.8,86.9,65.1,14.2,797.8,807.8,802.8,0,0,0
193,179.2,162.4,89.5,53.5,16.8,796.8,810.8,803.8,1,0,0
196,174.8,157.6,97.1,53.4,17.2,794.0,809.7,801.9,1,1,0
199,170.7,159.6,97.4,52.4,11.1,798.6,808.6,803.6,0,1,0
