frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,45.9,56.9,51.6,58.5,11.0,511.9,537.4,524.6,0,1,0
4,44.5,62.0,49.6,55.7,17.5,508.9,540.4,524.6,1,1,0
7,50.7,61.4,46.7,58.4,10.7,514.3,538.8,526.5,0,1,0
10,42.9,60.9,49.3,56.8,18.0,508.6,539.2,523.9,1,1,0
13,46.3,57.4,47.9,58.5,11.1,507.4,532.8,520.1,0,1,0
16,46.0,59.0,50.5,60.1,13.0,510.4,536.3,523.3,0,1,0
19,47.4,55.1,47.8,61.6,7.7,511.6,536.2,523.9,0,1,0
22,45.7,56.5,50.8,58.4,10.8,510.6,537.0,523.8,0,1,0
25,46.9,56.7,48.4,58.9,9.8,508.9,534.9,521.9,0,1,0
28,46.8,56.2,47.4,59.2,9.4,509.9,533.9,521.9,0,1,0
31,40.3,52.1,46.2,63.4,11.8,503.1,525.3,514.2,0,1,0
34,45.9,54.1,48.8,59.8,8.2,510.5,529.7,520.1,0,1,0
37,47.1,53.5,50.9,58.3,6.4,513.7,522.8,518.2,0,1,0
40,41.7,52.0,44.8,57.2,10.3,506.5,511.1,508.8,0,1,0
43,40.8,47.8,46.7,57.7,7.0,503.6,508.4,506.0,0,1,0
46,41.1,49.7,47.6,55.7,8.6,504.4,507.0,505.7,0,1,0
49,34.8,50.1,49.4,45.8,15.3,499.2,497.1,498.1,1,1,0
52,43.5,51.1,44.1,43.9,7.6,501.1,496.3,498.7,0,1,0
55,41.0,58.1,43.9,34.7,17.1,497.2,491.2,494.2,1,1,0
58,39.4,64.2,44.2,28.9,24.8,494.2,487.0,490.6,1,1,0
61,36.1,76.6,42.6,17.7,40.5,489.0,482.5,485.8,1,1,0
64,36.9,90.8,42.8,0.9,53.9,492.3,479.2,485.8,1,1,0
67,41.3,98.3,42.4,4.7,57.0,495.1,483.2,489.1,1,1,0
70,38.5,104.6,45.1,11.7,66.1,496.2,482.0,489.1,1,1,0
73,44.4,115.8,45.7,14.4,71.4,501.8,490.3,496.1,1,1,0
76,44.1,112.8,46.3,12.8,68.7,502.8,490.4,496.6,1,1,0
79,37.1,108.9,44.2,10.0,71.8,494.4,488.6,491.5,1,1,0
82,36.8,111.5,51.8,12.1,74.7,496.5,491.6,494.1,1,1,0
85,44.1,114.2,45.5,12.0,70.1,500.2,495.4,497.8,1,1,0
88,45.4,123.7,48.3,14.9,78.3,505.0,501.7,503.4,1,1,0
91,41.4,121.1,45.5,13.8,79.7,499.4,501.7,500.5,1,1,0
94,45.2,114.8,48.5,11.1,69.6,510.0,503.9,506.9,1,1,0
97,179.0,179.3,45.9,29.8,0.3,792.9,809.4,801.1,0,0,0
100,174.8,177.3,43.8,28.8,2.5,793.3,810.8,802.0,0,0,0
103,179.9,179.2,46.3,28.9,0.7,797.2,810.2,803.7,0,0,0
106,173.7,176.7,41.3,30.5,3.0,792.7,808.7,800.7,0,0,0
109,175.2,173.3,41.4,31.9,1.9,787.4,806.7,797.0,0,0,0
112,171.9,178.0,41.1,27.7,6.1,796.9,811.0,804.0,0,0,0
