frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,156.5,164.9,54.1,67.7,8.4,797.1,746.3,771.7,0,1,0
4,150.7,156.2,56.5,61.3,5.5,803.2,736.8,770.0,0,1,1
7,155.2,167.2,66.0,70.0,12.0,808.4,750.0,779.2,0,1,0
10,170.9,157.8,43.5,54.5,13.1,733.8,737.7,735.8,0,1,0
13,163.3,160.1,57.6,55.8,3.2,762.0,730.4,746.2,0,0,0
16,159.5,170.4,42.5,68.7,10.9,765.2,734.9,750.0,0,1,0
19,159.4,167.8,49.8,64.2,8.4,792.0,735.4,763.7,0,1,0
22,147.0,173.6,65.8,76.9,26.6,793.6,737.4,765.5,1,1,0
25,151.0,172.9,66.7,78.4,21.9,798.0,736.0,767.0,1,1,0
28,155.9,171.2,58.9,70.9,15.3,800.2,743.0,771.6,1,1,0
31,156.4,166.6,51.5,69.3,10.2,780.7,732.8,756.8,0,1,0
34,140.9,176.5,67.4,78.9,35.6,781.1,735.0,758.0,1,1,0
37,162.0,160.2,40.2,57.1,1.8,757.4,733.1,745.2,0,0,0
40,157.7,164.4,56.4,60.2,6.7,761.2,731.8,746.5,0,1,0
43,168.2,162.2,43.4,57.5,6.0,772.0,734.0,753.0,0,0,0
46,156.1,171.2,63.0,70.5,15.1,776.2,735.1,755.7,1,1,0
49,165.5,167.2,55.0,63.5,1.7,780.0,733.9,757.0,0,0,0
52,161.0,169.2,37.7,58.3,8.2,780.9,741.5,761.2,0,0,0
55,166.3,170.8,57.5,62.8,4.5,785.2,731.4,758.3,0,0,0
58,166.2,174.3,53.9,64.9,8.1,782.0,732.8,757.4,0,0,0
61,163.4,171.3,51.4,62.7,7.9,785.9,737.6,761.8,0,0,0
64,157.8,169.3,44.5,56.7,11.5,787.0,737.0,762.0,0,1,0
67,161.4,166.8,43.0,55.9,5.4,788.6,733.8,761.2,0,0,0
70,164.3,169.2,58.0,66.3,4.9,806.3,735.8,771.0,0,0,0
73,167.5,170.2,58.6,65.7,2.7,790.5,725.1,757.8,0,0,0
76,165.6,169.4,62.0,64.4,3.8,795.1,716.1,755.6,0,0,0
