frame,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,symmetry_diff,left_wrist_y,right_wrist_y,avg_wrist_y,asymmetry_flag,lockout_flag,low_visibility_flag
1,165.2,174.6,53.0,65.3,9.4,829.8,875.6,852.7,0,0,1
4,168.5,175.0,60.1,71.8,6.5,831.3,877.9,854.6,0,0,1
7,167.9,172.6,58.9,73.5,4.7,824.1,887.6,855.9,0,0,1
10,168.7,171.8,56.4,71.0,3.1,831.8,885.2,858.5,0,0,1
13,167.0,170.2,59.7,70.9,3.2,834.9,888.2,861.5,0,0,1
16,165.6,172.0,59.5,71.0,6.4,832.4,886.6,859.5,0,0,1
19,162.9,172.8,55.6,66.6,9.9,826.0,882.7,854.4,0,0,1
22,164.9,172.9,58.4,68.0,8.0,834.7,883.3,859.0,0,0,1
25,164.7,174.9,58.2,69.3,10.2,839.1,883.0,861.0,0,0,1
28,161.6,171.5,53.4,63.6,9.9,831.7,876.9,854.3,0,0,1
31,165.7,172.6,54.0,66.3,6.9,834.6,883.2,858.9,0,0,1
34,163.2,172.7,54.3,68.3,9.5,833.7,883.7,858.7,0,0,1
37,167.7,172.9,55.5,70.6,5.2,835.4,890.3,862.8,0,0,1
40,164.9,172.0,53.4,62.6,7.1,822.8,873.5,848.1,0,0,1
43,165.9,172.7,57.1,68.0,6.8,836.4,885.1,860.8,0,0,1
46,165.2,171.9,56.0,67.6,6.7,831.7,883.7,857.7,0,0,1
49,163.3,172.8,55.0,69.8,9.5,830.1,886.6,858.4,0,0,1
52,165.5,171.8,50.5,65.2,6.3,821.9,879.3,850.6,0,0,1
55,165.0,171.0,49.8,66.7,6.0,830.1,885.2,857.7,0,0,1
58,153.7,171.4,43.8,65.9,17.7,776.6,885.4,831.0,1,1,1
61,158.8,170.4,51.0,66.6,11.6,811.9,880.3,846.1,0,1,1
64,164.3,169.0,52.0,65.2,4.7,829.7,880.1,854.9,0,0,1
67,159.1,171.5,51.3,64.7,12.4,814.6,877.5,846.0,0,1,1
70,163.0,167.4,50.4,59.9,4.4,826.7,875.3,851.0,0,0,1
73,165.9,170.5,55.2,61.7,4.6,810.0,877.7,843.9,0,0,1
76,163.8,165.5,57.6,60.0,1.7,820.4,875.8,848.1,0,0,1
79,164.6,167.9,52.2,60.7,3.3,818.3,874.2,846.2,0,0,1
82,164.6,168.0,53.2,64.1,3.4,825.2,877.2,851.2,0,0,1
85,165.0,170.8,54.5,65.0,5.8,830.7,881.4,856.0,0,0,1
88,167.7,172.3,50.6,64.6,4.6,823.2,879.3,851.2,0,0,1
91,163.0,166.0,49.5,60.5,3.0,821.8,873.4,847.6,0,0,1
94,163.0,172.1,50.2,66.2,9.1,835.6,889.6,862.6,0,0,1
97,162.7,169.3,47.1,67.1,6.6,828.0,893.6,860.8,0,0,1
100,166.3,174.1,50.7,67.2,7.8,847.6,893.2,870.4,0,0,1
103,167.3,174.1,50.5,65.6,6.8,845.2,888.1,866.7,0,0,1
106,164.1,169.9,52.8,65.3,5.8,829.3,886.8,858.0,0,0,1
109,167.4,175.6,50.8,64.6,8.2,837.5,885.9,861.7,0,0,1
112,167.9,170.8,55.9,67.1,2.9,829.6,888.5,859.0,0,0,1
115,170.1,175.5,55.5,70.3,5.4,847.7,885.1,866.4,0,0,1
118,163.5,174.1,50.7,64.7,10.6,836.9,884.7,860.8,0,0,1
121,164.9,177.0,53.5,67.6,12.1,850.2,888.2,869.2,0,0,1
124,166.8,173.9,53.1,67.7,7.1,847.5,880.5,864.0,0,0,1
127,168.7,179.0,51.8,68.7,10.3,845.8,887.7,866.8,0,0,1
130,170.6,169.7,48.8,54.1,0.9,825.8,874.7,850.2,0,0,1
133,167.0,171.0,48.5,54.0,4.0,822.7,875.4,849.0,0,0,1
136,169.2,166.6,42.4,52.4,2.6,809.1,877.8,843.5,0,0,1
139,158.9,171.9,44.3,59.2,13.0,820.8,884.3,852.5,0,1,1
142,164.1,169.2,48.6,51.0,5.1,825.1,879.4,852.2,0,0,1
145,170.2,168.0,48.0,51.6,2.2,833.4,877.1,855.2,0,0,1
148,166.3,169.5,47.0,58.5,3.2,833.9,883.2,858.5,0,0,1
151,173.5,173.1,49.7,53.8,0.4,831.8,875.0,853.4,0,0,1
154,171.8,170.4,45.4,54.3,1.4,822.8,876.5,849.6,0,0,1
157,172.0,169.1,46.7,53.7,2.9,831.1,872.1,851.6,0,0,1
160,170.5,171.0,45.6,54.5,0.5,845.2,875.1,860.2,0,0,1
163,170.2,169.8,47.0,54.9,0.4,841.7,878.7,860.2,0,0,1
166,165.9,174.4,43.9,55.3,8.5,845.3,875.5,860.4,0,0,1
169,172.0,170.7,44.6,51.4,1.3,843.9,873.4,858.6,0,0,1
172,170.6,170.4,44.0,49.8,0.2,844.6,874.6,859.6,0,0,1
175,169.7,167.8,43.1,50.6,1.9,841.6,879.6,860.6,0,0,1
178,171.3,171.9,44.8,52.6,0.6,849.0,883.9,866.5,0,0,1
181,169.0,175.4,43.0,53.3,6.4,838.7,878.2,858.5,0,0,1
184,174.1,169.6,43.2,50.4,4.5,841.2,881.4,861.3,0,0,1
187,168.4,170.2,42.2,52.4,1.8,838.5,878.5,858.5,0,0,1
190,174.5,173.5,45.7,53.4,1.0,838.4,876.7,857.5,0,0,1
193,173.2,177.2,50.6,56.9,4.0,839.7,876.1,857.9,0,0,1
196,167.9,172.1,44.8,53.8,4.2,842.5,875.8,859.1,0,0,1
199,163.1,171.5,43.1,54.2,8.4,844.2,881.4,862.8,0,0,1
202,170.4,171.2,45.8,54.5,0.8,842.2,876.6,859.4,0,0,1
205,173.5,176.4,46.8,55.9,2.9,836.5,877.4,857.0,0,0,1
208,170.0,177.2,47.8,58.6,7.2,834.3,873.3,853.8,0,0,1
211,170.0,174.9,47.9,57.7,4.9,834.0,875.5,854.8,0,0,1
214,168.5,170.7,47.6,55.3,2.2,820.0,877.9,849.0,0,0,1
217,176.8,171.1,49.6,56.3,5.7,830.8,878.7,854.8,0,0,1
220,169.0,170.7,45.9,52.6,1.7,841.0,877.5,859.2,0,0,1
223,175.0,171.9,44.8,53.3,3.1,829.3,877.7,853.5,0,0,1
226,170.9,172.7,41.4,50.5,1.8,821.4,871.8,846.6,0,0,1
229,170.0,171.7,41.5,49.2,1.7,838.2,880.0,859.1,0,0,1
232,171.6,169.4,41.6,44.6,2.2,841.2,867.1,854.2,0,0,1
