lift_id,side_early_avg_left_elbow,side_early_max_left_elbow,side_early_min_left_elbow,side_early_avg_right_elbow,side_early_max_right_elbow,side_early_min_right_elbow,side_middle_avg_left_elbow,side_middle_max_left_elbow,side_middle_min_left_elbow,side_middle_avg_right_elbow,side_middle_max_right_elbow,side_middle_min_right_elbow,side_final_avg_left_elbow,side_final_max_left_elbow,side_final_min_left_elbow,side_final_avg_right_elbow,side_final_max_right_elbow,side_final_min_right_elbow,side_std_left_elbow,side_elbow_range_left,side_std_right_elbow,side_elbow_range_right,side_lockout_ratio,side_lockout_frame_ratio,side_lockout_left_elbow,side_lockout_right_elbow,angle_early_avg_left_elbow,angle_early_max_left_elbow,angle_early_min_left_elbow,angle_early_avg_right_elbow,angle_early_max_right_elbow,angle_early_min_right_elbow,angle_middle_avg_left_elbow,angle_middle_max_left_elbow,angle_middle_min_left_elbow,angle_middle_avg_right_elbow,angle_middle_max_right_elbow,angle_middle_min_right_elbow,angle_final_avg_left_elbow,angle_final_max_left_elbow,angle_final_min_left_elbow,angle_final_avg_right_elbow,angle_final_max_right_elbow,angle_final_min_right_elbow,angle_std_left_elbow,angle_elbow_range_left,angle_std_right_elbow,angle_elbow_range_right,angle_lockout_ratio,angle_lockout_frame_ratio,angle_lockout_left_elbow,angle_lockout_right_elbow,front_early_avg_symmetry_diff,front_middle_avg_symmetry_diff,front_final_avg_symmetry_diff,front_overall_avg_symmetry,front_overall_max_symmetry,front_asymmetry_ratio,front_lockout_symmetry,label
1good,144.44571428571425,178.8,56.3,122.85571428571428,178.5,3.1,125.52714285714285,179.8,13.2,117.58571428571429,177.3,8.5,143.43661971830988,176.9,6.1,152.66901408450707,179.2,46.7,35.94440428639064,173.70000000000002,41.84389603930468,176.1,0.8767772511848341,0.8862559241706162,171.7,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.576047904191617,8.644512195121951,6.005202312138728,6.721825396825397,42.9,0.10317460317460317,5.6,0
1bad,163.86119402985074,179.8,144.2,155.78955223880598,172.9,111.2,151.64328358208957,179.2,137.9,161.49104477611942,177.7,148.9,153.11492537313433,180.0,67.3,129.74029850746265,178.8,50.6,17.87082560936117,112.7,22.063976324402205,128.20000000000002,0.9154228855721394,0.6766169154228856,108.2,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5714285714285714,3.8526315789473684,8.385964912280702,4.621176470588234,69.9,0.06470588235294118,3.1,1
2good,145.53375,179.3,17.5,119.63624999999999,178.3,12.3,100.75250000000001,179.1,35.4,74.36749999999999,175.5,12.2,140.49753086419756,179.9,19.4,156.56296296296296,179.7,62.3,43.953430867933854,162.4,49.55199080988254,167.5,0.8630705394190872,0.8049792531120332,158.9,177.8,,,,,,,,,,,,,,,,,,,,,,,,,,,17.513978494623654,8.22871287128713,9.410309278350516,11.590034364261168,122.4,0.2027491408934708,1.7,0
2bad,163.1293103448276,179.7,145.4,164.89310344827584,179.4,110.4,153.85344827586206,170.4,51.3,159.7948275862069,179.9,24.5,128.04745762711866,178.2,27.6,119.93559322033896,179.8,3.9,27.400823079220068,152.1,37.407981744458766,176.0,0.8057142857142857,0.8057142857142857,168.2,83.8,,,,,,,,,,,,,,,,,,,,,,,,,,,3.208219178082192,5.299999999999999,11.866666666666667,6.617840375586855,49.5,0.09859154929577464,6.7,1
3bad,162.94545454545454,173.2,148.7,168.22181818181815,175.4,157.3,150.2163636363636,169.0,84.9,144.43454545454546,171.5,39.0,103.15535714285714,169.1,22.0,119.94464285714285,178.7,52.8,36.98541439125143,151.2,33.574280564795316,139.7,0.6144578313253012,0.9879518072289156,55.8,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,,6.592957746478874,11.17361111111111,18.41969696969697,11.90574162679426,73.3,0.24401913875598086,9.1,1
3good,136.23214285714286,179.6,47.9,115.90714285714287,178.4,2.6,85.27882352941177,179.5,22.3,68.56235294117646,175.0,20.7,150.47529411764708,178.3,58.5,154.98823529411766,180.0,51.4,45.98985508817234,157.29999999999998,52.255761171792905,177.4,0.7598425196850394,0.8307086614173228,164.1,178.4,,,,,,,,,,,,,,,,,,,,,,,,,,,11.263095238095238,5.56046511627907,6.31891891891892,7.7536885245901646,66.9,0.12295081967213115,4.3,0
4bad,166.73538461538462,180.0,144.4,149.72923076923075,173.8,81.8,169.57692307692307,179.3,144.8,126.10615384615384,165.9,106.1,138.43636363636364,178.8,45.1,123.11212121212121,178.5,1.9,25.795061099605704,134.9,34.355480098821396,176.6,0.9081632653061225,0.7551020408163265,163.5,144.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8441176470588236,7.848529411764705,10.429999999999998,6.902551020408164,39.0,0.11734693877551021,10.7,1
4good,138.64603174603175,179.7,41.3,104.17936507936507,177.2,14.6,130.05714285714282,179.0,14.0,94.57301587301586,179.2,0.8,139.64603174603175,177.8,1.6,135.25238095238095,179.9,5.8,41.91825118884445,178.1,49.28284138433863,179.1,0.9047619047619048,0.8253968253968254,150.7,114.6,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4981981981982,11.782300884955752,10.30088495575221,10.203857566765578,79.3,0.13056379821958458,0.6,0
5good,136.9975,179.4,19.8,133.13624999999996,166.8,93.3,109.46172839506173,177.7,9.8,94.91234567901235,179.6,1.2,150.30740740740742,179.6,9.1,139.61975308641973,179.6,8.8,43.058485615878325,170.5,43.79226341844939,178.4,0.8884297520661157,0.743801652892562,112.6,138.6,,,,,,,,,,,,,,,,,,,,,,,,,,,4.863888888888888,4.353703703703703,10.163917525773195,6.330351437699681,59.1,0.09584664536741214,3.6,0
5bad,137.70677966101695,161.3,54.9,153.0694915254237,178.1,64.5,152.15254237288136,169.6,90.1,158.07288135593222,169.1,140.9,127.83999999999999,179.2,25.3,121.98666666666666,177.5,6.6,27.439853079791877,153.89999999999998,34.699506252191505,171.5,0.9382022471910112,0.7696629213483146,137.0,166.2,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1296875,6.425925925925925,25.3,14.657754010695188,148.2,0.27807486631016043,36.2,1
6good,,,,,,,,,,,,,,,,,,,,,,,,,,,150.28130841121498,173.5,1.7,149.27757009345794,178.9,2.5,20.271962616822428,134.4,0.3,78.68130841121497,155.1,6.7,156.44579439252337,179.4,2.9,154.9196261682243,177.6,37.9,69.80736328391617,179.1,45.51143606923552,176.4,0.7165109034267912,0.8442367601246106,166.7,163.5,11.263095238095238,5.56046511627907,6.31891891891892,7.7536885245901646,66.9,0.12295081967213115,4.3,0
7good,,,,,,,,,,,,,,,,,,,,,,,,,,,162.27603305785127,178.2,102.0,168.87190082644625,179.9,136.7,51.679338842975206,169.8,0.0,81.55867768595041,177.0,31.5,127.72131147540983,180.0,0.1,132.36147540983606,179.9,33.9,73.25189243566413,180.0,56.49704105783862,148.4,0.554945054945055,0.8406593406593407,175.2,172.5,8.4981981981982,11.782300884955752,10.30088495575221,10.203857566765578,79.3,0.13056379821958458,0.6,0
8good,,,,,,,,,,,,,,,,,,,,,,,,,,,114.32584269662921,178.3,13.2,116.3988764044944,176.4,29.3,81.18426966292134,179.8,0.9,86.42921348314607,179.4,23.4,158.03444444444443,179.7,34.8,151.32666666666665,179.1,105.1,64.79332539106805,178.9,52.25284582149323,156.0,0.7574626865671642,0.7201492537313433,176.9,168.4,4.863888888888888,4.353703703703703,10.163917525773195,6.330351437699681,59.1,0.09584664536741214,3.6,0
9bad,137.70677966101695,161.3,54.9,153.0694915254237,178.1,64.5,152.15254237288136,169.6,90.1,158.07288135593222,169.1,140.9,127.83999999999999,179.2,25.3,121.98666666666666,177.5,6.6,27.439853079791877,153.89999999999998,34.699506252191505,171.5,0.9382022471910112,0.7696629213483146,137.0,166.2,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9985507246376812,3.091428571428571,16.833333333333336,7.619230769230769,63.3,0.14903846153846154,5.6,1
10good,,,,,,,,,,,,,,,,,,,,,,,,,,,161.62419354838707,179.9,0.7,150.69435483870973,172.0,42.4,8.707258064516129,66.1,0.1,62.73629032258064,105.7,38.7,155.70479999999998,179.9,5.1,157.5944,179.6,42.0,76.7239495790933,179.8,48.84238138461561,140.89999999999998,0.7506702412868632,0.7989276139410187,177.9,165.7,3.242857142857143,10.20185185185185,8.649999999999999,7.4034267912772584,65.4,0.1059190031152648,1.5,0
11good,148.3762376237624,176.8,123.5,163.42871287128713,171.3,122.0,110.23627450980392,179.7,1.4,72.59019607843138,177.2,1.5,137.26960784313727,178.5,6.6,114.57647058823532,179.6,1.0,38.47911324842108,178.29999999999998,60.57599274377494,178.6,0.8754098360655738,0.8491803278688524,171.6,178.8,,,,,,,,,,,,,,,,,,,,,,,,,,,19.22307692307692,9.867153284671533,5.13801652892562,11.527061855670103,122.3,0.13402061855670103,0.3,0
12good,,,,,,,,,,,,,,,,,,,,,,,,,,,148.84859813084114,171.9,3.4,138.00654205607475,177.1,5.0,19.94259259259259,179.3,0.1,78.14166666666667,158.6,0.9,144.07129629629628,179.5,1.6,154.56574074074072,179.0,113.7,69.584317846454,179.4,45.05829526421293,178.1,0.8173374613003096,0.7616099071207431,167.1,176.0,6.509473684210526,16.48018867924528,6.30377358490566,9.881107491856678,126.6,0.13680781758957655,4.7,0
13bad,166.73538461538462,180.0,144.4,149.72923076923075,173.8,81.8,169.57692307692307,179.3,144.8,126.10615384615384,165.9,106.1,138.43636363636364,178.8,45.1,123.11212121212121,178.5,1.9,25.795061099605704,134.9,34.355480098821396,176.6,0.9081632653061225,0.7551020408163265,163.5,144.7,165.92878787878786,173.9,158.8,167.1893939393939,177.9,151.3,109.87272727272727,171.1,0.4,130.56515151515154,175.6,41.8,154.47424242424245,178.4,46.7,170.78787878787878,179.8,127.1,44.811578098319586,178.0,33.65276457901633,138.0,0.48484848484848486,0.494949494949495,4.2,41.8,1.5714285714285714,3.8526315789473684,8.385964912280702,4.621176470588234,69.9,0.06470588235294118,3.1,1
14good,,,,,,,,,,,,,,,,,,,,,,,,,,,165.4896,177.1,123.8,170.4392,179.9,153.7,19.323199999999996,169.3,0.0,54.5264,173.7,34.8,139.60880000000006,179.9,0.1,139.90399999999997,178.7,37.4,76.59955606281024,179.9,58.72829917018251,145.10000000000002,0.6,0.8453333333333334,168.4,165.9,9.2344,5.2232,7.033070866141733,7.162864721485412,64.3,0.07957559681697612,0.3,0
